YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,19,149,16,5,412
2020-02,16,87,9,3,319
2020-03,15,90,7,3,303
2020-04,18,112,5,2,197
2020-05,13,133,19,8,696
2020-06,22,143,27,6,655
2020-07,28,131,24,10,575
2020-08,17,98,19,2,348
2020-09,16,106,15,3,288
2020-10,13,96,12,5,250
2020-11,10,104,12,7,288
2020-12,11,107,6,10,214
