YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,9,117,41,228,219
2020-02,1,118,47,163,255
2020-03,11,110,27,182,197
2020-04,1,108,26,50,106
2020-05,1,110,76,323,381
2020-06,1,157,48,257,330
2020-07,1,141,36,235,265
2020-08,9,99,41,219,158
2020-09,3,129,31,194,211
2020-10,3,134,35,214,176
2020-11,2,121,54,241,286
2020-12,7,148,35,232,211
