YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,0,319,51,48,474
2020-02,3,260,31,68,421
2020-03,1,326,47,62,374
2020-04,0,182,8,20,102
2020-05,1,289,58,95,726
2020-06,3,414,72,73,596
2020-07,3,321,63,81,542
2020-08,1,261,26,51,310
2020-09,1,267,48,55,359
2020-10,2,289,80,69,318
2020-11,3,246,47,96,352
2020-12,0,183,34,32,331
