YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,21,7,0,36,36
2020-02,5,0,0,54,124
2020-03,14,4,2,35,89
2020-04,2,1,3,6,22
2020-05,2,5,0,28,127
2020-06,5,2,2,28,67
2020-07,5,3,0,27,30
2020-08,7,5,3,26,23
2020-09,1,2,1,44,28
2020-10,5,0,0,36,27
2020-11,5,2,2,40,42
2020-12,8,5,0,6,21
