YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,0,1,0,1,80
2020-02,1,0,0,3,55
2020-03,0,4,1,1,67
2020-04,1,2,0,0,46
2020-05,3,5,2,4,123
2020-06,0,4,1,1,114
2020-07,0,8,0,0,72
2020-08,1,6,0,1,59
2020-09,0,8,1,2,51
2020-10,0,4,3,1,37
2020-11,0,5,1,2,56
