YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
201601,45
201602,60
201603,74
201604,123
201605,123
201606,196
201607,239
201608,516
201609,472
201610,508
201611,399
201612,402
201701,410
201702,350
201703,445
201704,348
201705,346
201706,315
201707,276
201708,329
201709,249
201710,226
201711,221
