Europa,1957,1192,765,1764,22,169,11,6,645,911,4019,1245,18,156,11,4,571,154,4,13,0,2,74,641,116,
Afrika,1732,1469,263,2097,37,481,87,80,682,730,8728,1178,36,450,79,66,640,393,1,31,8,14,42,211,126,
Amerika,46,36,10,52,8,2,0,5,30,7,201,15,6,0,0,5,30,4,2,2,0,0,0,3,0,
Asien,9568,8980,588,6989,40,2054,1944,350,1055,1546,48661,3098,39,1997,1895,269,985,730,1,57,49,81,70,651,165,
Australien,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unbekannt,539,515,24,419,13,265,33,5,46,57,2957,171,13,257,31,3,43,33,0,8,2,2,3,19,5,
