2016M09 
81375 
26410 
13720 
32820 
2390 
680 
689725 
8485 
65 
32005 
18920 
18255 
45640 
345 
7535 
3600 
525 
81325 
90 
190 
2395 
195 
805 
12780 
11025 
2755 
65 
480 
111975 
325 
90 
33905 
