Europa,1281,750,531,1442,26,215,7,10,579,605,4399,1181,25,212,3,5,520,191,1,3,4,5,59,280,134,
Afrika,1558,1279,279,2251,16,338,99,88,862,848,7845,1288,16,326,93,70,821,503,0,12,6,18,41,213,132,
Amerika,34,33,1,75,8,5,3,7,43,9,277,4,8,5,3,7,43,3,0,0,0,0,0,4,2,
Asien,8296,5123,3173,5870,52,1812,1093,296,1265,1352,29718,5168,50,1766,1077,252,1191,851,2,46,16,44,74,295,206,
Unbekannt,398,274,124,358,10,219,23,6,61,39,1959,217,10,219,23,5,59,21,0,0,0,1,2,10,8,
Herkunftslaender gesamt,11567,7459,4108,9996,112,2589,1225,407,2810,2853,44198,7858,109,2528,1199,339,2634,1569,3,61,26,68,176,802,482,
