Europa,1200,923,277,2267,69,443,3,13,973,766,7495,1041,68,441,3,7,918,367,1,2,0,6,55,279,120,
Afrika,1462,1283,179,2838,21,426,131,94,1046,1120,9352,1064,20,409,126,78,977,698,1,17,5,16,69,168,254,
Amerika,170,166,4,299,15,7,6,35,223,13,1108,10,15,7,6,34,222,8,0,0,0,1,1,4,1,
Asien,4943,4490,453,7355,53,2429,1331,275,1467,1800,31494,2661,50,2362,1319,228,1374,1104,3,67,12,47,93,480,216,
Australien,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unbekannt,293,257,36,395,3,210,21,5,69,87,1847,150,3,209,21,2,68,54,0,1,0,3,1,17,16,
Herkunftslaender gesamt,8069,7120,949,13154,161,3515,1492,422,3778,3786,51297,4926,156,3428,1475,349,3559,2231,5,87,17,73,219,948,607,
