YEAR_MONTH,Herkunftsland,Entscheidungen insgesamt,Ablehnungen,sonstige Erledigungen, bereinigte Schutzquote, BAMF-Schutzquote
201609,Albanien,2221,1804,414,0.166021,0.135074
201609,Bosnien und Herzegowina,326,189,133,2.07254,1.22699
201609,Andorra,0,0,0,nd,nd
201609,Belgien,1,1,0,nd,nd
201609,Bulgarien,2,2,0,nd,nd
201609,Estland,0,0,0,nd,nd
201609,Frankreich,0,0,0,nd,nd
201609,Kroatien,0,0,0,nd,nd
201609,Slowenien,0,0,0,nd,nd
201609,Griechenland,0,0,0,nd,nd
201609,Italien,0,0,0,nd,nd
201609,Lettland,0,0,0,nd,nd
201609,Montenegro,203,153,49,0.649351,0.492611
201609,Litauen,3,2,1,0,0
201609,Mazedonien,850,572,274,0.694444,0.470588
201609,Moldau (Republik),551,172,378,0.578035,0.181488
201609,Niederlande,1,0,1,nd,nd
201609,Kosovo,1007,819,182,0.727273,0.595829
201609,Polen,0,0,0,nd,nd
201609,Portugal,0,0,0,nd,nd
201609,Rumänien,0,0,0,nd,nd
201609,Slowakische Republik,0,0,0,nd,nd
201609,Schweden,0,0,0,nd,nd
201609,Russische Föderation,1169,395,731,9.81735,3.67836
201609,Spanien,2,0,2,nd,nd
201609,Türkei,142,19,115,29.6296,5.6338
201609,Tschechische Republik,0,0,0,nd,nd
201609,Ungarn,0,0,0,nd,nd
201609,Ukraine,473,256,210,2.6616,1.47992
201609,Großbritannien mit Nordirland,0,0,0,nd,nd
201609,Weißrussland,16,2,13,33.3333,6.25
201609,Serbien,1120,759,359,0.262812,0.178571
201609,Zypern,0,0,0,nd,nd
201609,sonst. europ. Staatsangeh.,0,0,0,nd,nd
201609,Algerien,217,141,66,6.62252,4.60829
201609,Angola,10,4,1,55.5556,50
201609,Eritrea,1648,2,142,99.8672,91.2621
201609,Äthiopien,61,33,20,19.5122,13.1148
201609,Botsuana,0,0,0,nd,nd
201609,Benin,23,13,10,0,0
201609,Dschibuti,0,0,0,nd,nd
201609,Elfenbeinküste (Cote d Ivoire),41,23,16,8,4.87805
201609,Nigeria,444,283,128,10.443,7.43243
201609,Simbabwe,2,2,0,nd,nd
201609,Gabun,2,1,0,nd,nd
201609,Gambia,85,53,26,10.1695,7.05882
201609,Ghana,208,167,39,1.18343,0.961538
201609,Mauretanien,8,0,8,nd,nd
201609,Cabo Verde,0,0,0,nd,nd
201609,Kenia,19,8,11,0,0
201609,Komoren,0,0,0,nd,nd
201609,Kongo,4,1,2,50,25
201609,"Kongo, Dem. Republik",6,0,2,100,66.6667
201609,Liberia,2,1,1,0,0
201609,Libyen,167,83,30,39.4161,32.3353
201609,Mali,36,12,24,0,0
201609,Marokko,237,153,71,7.83133,5.48523
201609,Mauritius,0,0,0,nd,nd
201609,Mosambik,0,0,0,nd,nd
201609,Niger,7,1,6,0,0
201609,Malawi,0,0,0,nd,nd
201609,Sambia,0,0,0,nd,nd
201609,Burkina-Faso,15,11,3,8.33333,6.66667
201609,Guinea-Bissau,28,12,16,0,0
201609,Guinea,74,32,37,13.5135,6.75676
201609,Kamerun,52,9,43,0,0
201609,Südafrika,0,0,0,nd,nd
201609,Ruanda,2,1,1,0,0
201609,Namibia,0,0,0,nd,nd
201609,Senegal,107,87,18,2.24719,1.86916
201609,Sierra Leone,13,2,11,0,0
201609,Somalia,581,34,118,92.6566,73.8382
201609,Äquatorialguinea,0,0,0,nd,nd
201609,Sudan,0,0,0,nd,nd
201609,Sudan (ohne Südsudan),104,48,35,30.4348,20.1923
201609,Südsudan,0,0,0,nd,nd
201609,Tansania,1,0,1,nd,nd
201609,Togo,4,0,4,nd,nd
201609,Tschad,15,0,15,nd,nd
201609,Tunesien,78,42,35,2.32558,1.28205
201609,Uganda,3,0,3,nd,nd
201609,Ägypten,276,224,33,7.81893,6.88406
201609,Zentralafrikanische Republik,0,0,0,nd,nd
201609,Burundi,1,0,1,nd,nd
201609,sonst. afrik. Staatsangeh.,65,53,4,13.1148,12.3077
201609,Argentinien,0,0,0,nd,nd
201609,Bolivien,0,0,0,nd,nd
201609,Brasilien,0,0,0,nd,nd
201609,Belize,0,0,0,nd,nd
201609,Dominikanische Republik,0,0,0,nd,nd
201609,Ecuador,0,0,0,nd,nd
201609,El Salvador,0,0,0,nd,nd
201609,Guatemala,0,0,0,nd,nd
201609,Haiti,0,0,0,nd,nd
201609,Honduras,0,0,0,nd,nd
201609,Kanada,1,0,0,nd,nd
201609,Kolumbien,2,1,1,0,0
201609,Kuba,0,0,0,nd,nd
201609,Mexico,0,0,0,nd,nd
201609,Nicaragua,0,0,0,nd,nd
201609,Jamaica,0,0,0,nd,nd
201609,Paraguay,0,0,0,nd,nd
201609,Peru,0,0,0,nd,nd
201609,Suriname,0,0,0,nd,nd
201609,Venezuela,0,0,0,nd,nd
201609,Vereinigte Staaten v. Amerika,2,0,0,nd,nd
201609,Britisch abh.Geb.Amerika,0,0,0,nd,nd
201609,Jemen,22,0,7,100,68.1818
201609,Armenien,120,69,44,9.21053,5.83333
201609,Afghanistan,7704,3094,565,56.6606,52.5052
201609,Bahrain,1,0,0,nd,nd
201609,Aserbaidschan,132,89,30,12.7451,9.84848
201609,Bhutan,0,0,0,nd,nd
201609,Myanmar,0,0,0,nd,nd
201609,Georgien,136,88,46,2.22222,1.47059
201609,Sri Lanka,19,12,2,29.4118,26.3158
201609,Vietnam,161,111,50,0,0
201609,Korea (Demokrat. Volksrepubl.),0,0,0,nd,nd
201609,Indien,491,422,60,2.08817,1.83299
201609,Indonesien,0,0,0,nd,nd
201609,Irak,8783,2393,626,70.6632,65.6268
201609,"Iran, Islamische Republik",1052,370,176,57.7626,48.0989
201609,Israel,0,0,0,nd,nd
201609,Kasachstan,3,1,2,0,0
201609,Jordanien,16,5,7,44.4444,25
201609,Kambodscha,0,0,0,nd,nd
