YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
201601,27146
201602,33493
201603,27878
201604,25791
201605,21544
201606,24492
201607,22488
201608,26209
201609,22543
201610,6253
201611,4516
201612,3317
