YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
201601,131
201602,137
201603,174
201604,180
201605,231
201606,471
201607,510
201608,883
201609,916
201610,656
201611,404
201612,371
201701,602
201702,306
201703,313
201704,224
201705,165
201706,156
201707,308
201708,276
201709,330
201710,194
201711,256
