YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,1,469,72,105,673
2019-02,6,510,58,87,683
2019-03,3,566,75,111,533
2019-04,3,378,61,61,384
2019-05,8,396,56,61,465
2019-06,3,359,35,40,379
2019-07,3,417,52,76,491
2019-08,2,380,69,65,553
2019-09,2,282,70,61,456
2019-10,9,318,49,54,333
2019-11,2,321,59,78,468
2019-12,6,202,46,42,342
