Albanien,121,474,289,185,928,-,-,11,11,639,267,1.119,435,-,-,11,11,610,78,-,-,-,-,29,182,7
Bosnien und Herzegowina,122,93,46,47,212,-,-,-,4,94,114,261,185,-,-,-,2,80,35,-,-,-,2,14,54,25
Belgien,124,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bulgarien,125,1,1,-,8,-,-,-,-,7,1,13,-,-,-,-,-,7,-,-,-,-,-,-,-,1
Dänemark u. Färöer,126,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Estland,127,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Frankreich,129,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Kroatien,130,-,-,-,6,-,-,-,-,4,2,2,1,-,-,-,-,4,-,-,-,-,-,-,-,2
Slowenien,131,-,-,-,1,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Griechenland,134,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Italien,137,-,-,-,2,-,-,-,1,-,1,15,-,-,-,-,1,-,1,-,-,-,-,-,-,-
Lettland,139,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,140,75,30,45,135,-,-,-,-,99,36,132,68,-,-,-,-,92,12,-,-,-,-,7,21,3
Litauen,142,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mazedonien,144,294,167,127,639,-,-,1,7,403,228,825,656,-,-,1,7,330,60,-,-,-,-,73,138,30
Moldau (Republik),146,37,29,8,52,1,4,-,-,34,13,68,9,1,4,-,-,32,13,-,-,-,-,2,-,-
Niederlande,148,-,-,-,4,-,2,-,-,-,2,6,-,-,2,-,-,-,2,-,-,-,-,-,-,-
Kosovo,150,198,131,67,602,-,-,7,15,392,188,820,325,-,-,5,11,345,65,-,-,2,4,47,114,9
Österreich,151,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
