Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Albanien,121,"",1801,1760,41,3588,0,0,8,7,2706,867,23929,624,0,0,8,7,2697,795,0,0,0,0,9,65,7
Bosnien und Herzegowina,122,"",275,140,135,666,0,0,0,0,393,273,3275,1483,0,0,0,0,377,62,0,0,0,0,16,161,50
Belgien,124,"",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgarien,125,"",0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Estland,127,"",0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Frankreich,129,"",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kroatien,130,"",0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Slowenien,131,"",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Griechenland,134,"",0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Italien,137,"",3,3,0,1,0,0,0,0,0,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lettland,139,"",0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,140,"",80,70,10,545,0,0,0,0,524,21,1681,247,0,0,0,0,515,10,0,0,0,0,9,11,0
Litauen,142,"",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazedonien,144,"",470,297,173,741,0,1,0,0,485,255,6180,4091,0,1,0,0,450,96,0,0,0,0,35,116,43
Moldau (Republik),146,"",122,121,1,2,0,0,0,0,0,2,1803,17,0,0,0,0,0,2,0,0,0,0,0,0,0
Niederlande,148,"",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,150,"",451,342,109,1301,0,1,0,6,1089,205,11997,2338,0,1,0,6,1027,111,0,0,0,0,62,66,28
Polen,152,"",0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,153,"",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumänien,154,"",0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Slowakische Republik,155,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Schweden,157,"",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Schweiz,158,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russische Föderation,160,"",361,311,50,586,3,12,1,11,104,455,6815,1182,3,3,1,0,90,394,0,9,0,11,14,15,46
Spanien,161,"",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkei,163,"",99,79,20,108,1,16,4,1,34,52,3028,441,1,14,4,1,30,40,0,2,0,0,4,8,4
Tschechische Republik,164,"",1,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ungarn,165,"",0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,166,"",280,270,10,103,0,5,0,0,20,78,6020,117,0,5,0,0,20,71,0,0,0,0,0,0,7
Großbritannien mit Nordirland,168,"",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weißrußland,169,"",9,9,0,2,0,0,0,0,0,2,321,30,0,0,0,0,0,1,0,0,0,0,0,0,1
Serbien,170,"",906,380,526,1973,0,1,0,0,1310,662,10327,6917,0,1,0,0,1253,192,0,0,0,0,57,361,109
Zypern,181,"",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
