Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Albanien,121,"",4.794,4.743,51,815,-,-,-,1,632,182,14.901,318,-,-,-,1,630,168,-,-,-,-,2,13,1
Bosnien und Herzegowina,122,"",738,472,266,498,-,-,-,-,188,310,2.668,1.301,-,-,-,-,168,39,-,-,-,-,20,206,65
Belgien,124,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bulgarien,125,"",1,1,-,1,-,-,-,-,-,1,12,3,-,-,-,-,-,1,-,-,-,-,-,-,-
Estland,127,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Frankreich,129,"",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Kroatien,130,"",6,6,-,2,-,-,-,-,-,2,16,14,-,-,-,-,-,-,-,-,-,-,-,-,2
Slowenien,131,"",-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Griechenland,134,"",4,4,-,-,-,-,-,-,-,-,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Italien,137,"",-,-,-,2,-,-,-,-,2,-,17,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Lettland,139,"",1,1,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,140,"",318,279,39,88,-,-,-,-,62,26,927,221,-,-,-,-,60,10,-,-,-,-,2,15,1
Litauen,142,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mazedonien,144,"",972,617,355,608,-,-,-,2,407,199,3.334,2.181,-,-,-,1,384,49,-,-,-,1,23,104,46
Moldau (Republik),146,"",103,103,-,7,-,2,-,-,1,4,576,11,-,2,-,-,1,4,-,-,-,-,-,-,-
Niederlande,148,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kosovo,150,"",4.608,4.319,289,6.109,-,2,-,5,5.630,472,15.246,2.393,-,2,-,3,5.214,289,-,-,-,2,416,130,53
Polen,152,"",-,-,-,1,-,-,-,-,-,1,24,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Portugal,153,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumänien,154,"",-,-,-,-,-,-,-,-,-,-,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Slowakische Republik,155,"",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweden,157,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweiz,158,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,"",412,304,108,361,1,5,5,12,43,295,5.456,955,1,5,5,3,38,207,-,-,-,9,5,2,86
Spanien,161,"",-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Türkei,163,"",114,97,17,56,-,1,-,-,19,36,2.538,365,-,1,-,-,16,28,-,-,-,-,3,5,3
Tschechische Republik,164,"",-,-,-,-,-,-,-,-,-,-,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Ungarn,165,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Ukraine,166,"",460,453,7,88,-,4,-,-,-,84,3.593,71,-,2,-,-,-,84,-,2,-,-,-,-,-
Großbritannien mit Nordirland,168,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Weißrußland,169,"",11,10,1,2,-,-,-,-,-,2,162,16,-,-,-,-,-,2,-,-,-,-,-,-,-
Serbien,170,"",2.279,1.462,817,1.885,-,-,-,-,1.042,843,8.879,5.035,-,-,-,-,958,212,-,-,-,-,84,546,85
sonst. europ. Staatsangeh.,199,"",-,-,-,3,-,-,-,-,3,-,12,1,-,-,-,-,3,-,-,-,-,-,-,-,-
Europa,"","",14.822,12.872,1.950,10.527,1,14,5,20,8.030,2.457,58.422,12.896,1,12,5,8,7.475,1.094,-,2,-,12,555,1.021,342
Algerien,221,"",224,208,16,82,-,-,-,-,18,64,2.402,167,-,-,-,-,18,55,-,-,-,-,-,1,8
Angola,223,"",7,7,-,2,-,1,-,-,-,1,186,9,-,1,-,-,-,1,-,-,-,-,-,-,-
Eritrea,224,"",367,362,5,275,1,119,26,4,3,122,15.745,97,1,119,26,3,3,116,-,-,-,1,-,2,4
Äthiopien,225,"",84,84,-,25,-,1,1,1,9,13,1.852,59,-,1,1,1,9,13,-,-,-,-,-,-,-
Botsuana,227,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,"",31,31,-,16,-,-,-,-,6,10,301,5,-,-,-,-,6,10,-,-,-,-,-,-,-
Dschibuti,230,"",-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,"",44,39,5,18,-,-,-,-,2,16,276,21,-,-,-,-,2,16,-,-,-,-,-,-,-
Nigeria,232,"",337,330,7,87,-,-,-,1,4,82,5.935,168,-,-,-,1,4,81,-,-,-,-,-,-,1
Simbabwe,233,"",-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabun,236,"",1,-,1,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Gambia,237,"",157,155,2,115,-,-,-,1,1,113,2.269,65,-,-,-,1,1,112,-,-,-,-,-,-,1
Ghana,238,"",100,97,3,66,-,-,-,1,19,46,1.351,42,-,-,-,1,18,45,-,-,-,-,1,-,1
Mauretanien,239,"",11,9,2,13,-,-,-,-,1,12,60,5,-,-,-,-,1,5,-,-,-,-,-,6,1
Kenia,243,"",9,7,2,14,-,1,-,-,6,7,191,7,-,1,-,-,6,7,-,-,-,-,-,-,-
Komoren,244,"",1,1,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",9,9,-,2,-,-,-,-,-,2,96,5,-,-,-,-,-,2,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",5,4,1,8,-,1,-,1,5,1,474,31,-,1,-,1,5,-,-,-,-,-,-,1,-
Liberia,247,"",11,10,1,-,-,-,-,-,-,-,79,10,-,-,-,-,-,-,-,-,-,-,-,-,-
Libyen,248,"",85,83,2,32,11,-,-,-,-,21,908,35,11,-,-,-,-,15,-,-,-,-,-,-,6
Mali,251,"",45,42,3,29,-,-,-,1,6,22,635,14,-,-,-,1,6,20,-,-,-,-,-,-,2
Marokko,252,"",133,124,9,46,-,-,-,-,22,24,1.630,75,-,-,-,-,21,16,-,-,-,-,1,3,5
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Niger,255,"",11,9,2,12,-,-,-,-,-,12,96,13,-,-,-,-,-,12,-,-,-,-,-,-,-
Malawi,256,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sambia,257,"",-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina-Faso,258,"",14,14,-,18,-,-,-,-,5,13,179,7,-,-,-,-,5,12,-,-,-,-,-,-,1
Guinea-Bissau,259,"",35,31,4,27,-,-,-,-,2,25,307,10,-,-,-,-,2,24,-,-,-,-,-,-,1
Guinea,261,"",76,68,8,17,-,2,1,1,-,13,1.982,62,-,2,1,1,-,12,-,-,-,-,-,-,1
Kamerun,262,"",53,51,2,46,-,-,-,-,10,36,739,32,-,-,-,-,10,34,-,-,-,-,-,-,2
Südafrika,263,"",2,2,-,1,-,-,-,-,-,1,9,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Ruanda,265,"",5,5,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Namibia,267,"",1,1,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,"",113,112,1,21,-,-,-,-,2,19,1.480,13,-,-,-,-,2,19,-,-,-,-,-,-,-
Sierra Leone,272,"",16,15,1,4,-,-,-,1,-,3,439,34,-,-,-,1,-,3,-,-,-,-,-,-,-
Somalia,273,"",415,396,19,169,-,23,16,8,16,106,7.029,236,-,22,15,7,15,101,-,1,1,1,1,-,5
Äquatorialguinea,274,"",1,1,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",56,49,7,28,-,5,4,-,4,15,697,32,-,5,4,-,4,13,-,-,-,-,-,-,2
Südsudan,278,"",3,3,-,1,-,-,-,-,-,1,31,5,-,-,-,-,-,1,-,-,-,-,-,-,-
Swasiland,281,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tansania,282,"",6,4,2,-,-,-,-,-,-,-,72,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Togo,283,"",8,4,4,8,-,-,1,-,-,7,212,24,-,-,1,-,-,7,-,-,-,-,-,-,-
