Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Tschad,284,"",3,2,1,15,-,-,-,6,4,5,120,22,-,-,-,5,4,1,-,-,-,1,-,-,4
Tunesien,285,"",82,72,10,63,-,-,-,-,33,30,540,90,-,-,-,-,32,26,-,-,-,-,1,-,4
Uganda,286,"",3,3,-,1,-,-,-,-,1,-,134,9,-,-,-,-,1,-,-,-,-,-,-,-,-
Ägypten,287,"",83,79,4,60,-,16,-,6,7,31,2.786,43,-,16,-,-,6,27,-,-,-,6,1,1,3
Zentralafrikanische Republik,289,"",-,-,-,-,-,-,-,-,-,-,47,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,291,"",-,-,-,1,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1
sonst. afrik. Staatsangeh.,299,"",1,1,-,5,-,-,-,-,4,1,50,10,-,-,-,-,4,1,-,-,-,-,-,-,-
Afrika,"","",2.648,2.524,124,1.327,12,169,49,32,190,875,51.492,1.461,12,168,48,23,185,808,-,1,1,9,5,14,53
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Argentinien,323,"",-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Brasilien,327,"",-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,336,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,"",3,3,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,"",2,2,-,-,-,-,-,-,-,-,43,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuba,351,"",-,-,-,-,-,-,-,-,-,-,94,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Mexico,353,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,355,"",2,2,-,-,-,-,-,-,-,-,21,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguay,359,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",-,-,-,1,-,-,-,-,-,1,8,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Venezuela,367,"",2,2,-,1,-,-,-,-,1,-,16,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,"",-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad und Tobago,371,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,"","",9,9,-,2,-,-,-,-,1,1,244,9,-,-,-,-,1,1,-,-,-,-,-,-,-
Jemen,421,"",27,19,8,1,-,-,1,-,-,-,269,19,-,-,1,-,-,-,-,-,-,-,-,-,-
Armenien,422,"",159,150,9,45,-,-,-,2,23,20,2.939,204,-,-,-,2,23,16,-,-,-,-,-,4,-
Afghanistan,423,"",1.144,1.119,25,500,4,88,19,48,67,274,14.972,763,4,75,17,44,64,266,-,13,2,4,3,7,1
Bahrain,424,"",1,1,-,7,6,1,-,-,-,-,20,1,6,1,-,-,-,-,-,-,-,-,-,-,-
Aserbaidschan,425,"",101,82,19,24,-,1,-,1,6,16,1.914,207,-,1,-,1,6,15,-,-,-,-,-,-,1
Bhutan,426,"",-,-,-,-,-,-,-,-,-,-,16,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,427,"",7,7,-,-,-,-,-,-,-,-,140,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Georgien,430,"",276,244,32,267,-,-,-,1,163,103,2.632,318,-,-,-,1,160,55,-,-,-,-,3,14,34
Sri Lanka,431,"",30,21,9,22,-,5,-,-,8,9,842,143,-,5,-,-,8,3,-,-,-,-,-,3,3
Vietnam,432,"",64,61,3,34,-,-,-,6,7,21,759,58,-,-,-,5,6,17,-,-,-,1,1,4,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Korea (Demokrat. Volksrepubl.),434,"",3,3,-,-,-,-,-,-,-,-,89,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Indien,436,"",168,160,8,6,-,-,-,-,3,3,2.531,75,-,-,-,-,3,3,-,-,-,-,-,-,-
Indonesien,437,"",3,3,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irak,438,"",1.398,1.282,116,1.081,7,922,9,4,-,139,7.098,2.678,4,492,5,2,-,128,3,430,4,2,-,4,7
"Iran, Islamische Republik",439,"",433,390,43,202,11,83,-,1,13,94,5.124,505,11,76,-,1,12,84,-,7,-,-,1,8,2
Israel,441,"",-,-,-,-,-,-,-,-,-,-,42,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasachstan,444,"",9,9,-,9,-,-,-,-,-,9,101,22,-,-,-,-,-,9,-,-,-,-,-,-,-
Jordanien,445,"",1,1,-,1,-,-,-,-,-,1,144,22,-,-,-,-,-,1,-,-,-,-,-,-,-
Kambodscha,446,"",-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",4,4,-,5,-,-,-,-,1,4,87,21,-,-,-,-,1,1,-,-,-,-,-,-,3
Libanon,451,"",70,67,3,47,-,1,-,1,11,34,853,127,-,1,-,1,10,31,-,-,-,-,1,1,2
Oman,456,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",70,68,2,23,-,-,-,-,2,21,581,19,-,-,-,-,2,18,-,-,-,-,-,-,3
Nepal,458,"",-,-,-,1,-,-,-,-,1,-,26,2,-,-,-,-,1,-,-,-,-,-,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",24,24,-,14,-,2,-,-,-,12,187,1,-,2,-,-,-,12,-,-,-,-,-,-,-
Bangladesch,460,"",77,73,4,29,-,2,-,4,11,12,858,40,-,2,-,4,11,12,-,-,-,-,-,-,-
Pakistan,461,"",457,434,23,123,1,15,-,2,35,70,7.620,374,1,14,-,1,32,57,-,1,-,1,3,5,8
Philippinen,462,"",1,1,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
China (Taiwan),465,"",1,1,-,-,-,-,-,-,-,-,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea (Republik),467,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tadschikistan,470,"",24,23,1,37,3,-,-,-,6,28,313,38,3,-,-,-,6,28,-,-,-,-,-,-,-
Turkmenistan,471,"",29,29,-,4,-,-,-,-,1,3,514,5,-,-,-,-,1,3,-,-,-,-,-,-,-
Saudi Arabien,472,"",1,1,-,2,-,1,-,-,-,1,2,-,-,1,-,-,-,1,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,"",4.461,4.224,237,4.257,82,3.354,4,27,-,790,20.773,1.356,79,3.093,3,18,-,771,3,261,1,9,-,8,11
Thailand,476,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Usbekistan,477,"",-,-,-,1,-,-,-,-,-,1,25,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
China,479,"",30,30,-,8,-,1,-,-,4,3,780,49,-,1,-,-,3,3,-,-,-,-,1,-,-
Malaysia,482,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,"",109,103,6,200,4,138,-,-,5,53,1.505,150,4,128,-,-,5,41,-,10,-,-,-,12,-
Asien,"","",9.182,8.634,548,6.950,118,4.614,33,97,367,1.721,73.820,7.212,112,3.892,26,80,354,1.576,6,722,7,17,13,70,75
Salomonen,524,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australien,"","",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatenlos,997,"",139,119,20,98,-,78,-,-,1,19,1.056,77,-,71,-,-,1,19,-,7,-,-,-,-,-
Ungeklärt,998,"",377,345,32,291,1,133,-,-,40,117,2.783,207,1,117,-,-,39,101,-,16,-,-,1,10,6
ohne Angabe,999,"",1,1,-,4,-,-,-,-,-,4,19,1,-,-,-,-,-,4,-,-,-,-,-,-,-
Unbekannt,"","",517,465,52,393,1,211,-,-,41,140,3.858,285,1,188,-,-,40,124,-,23,-,-,1,10,6
Herkunftsländer gesamt,"","",27.178,24.504,2.674,19.199,132,5.008,87,149,8.629,5.194,187.837,21.863,126,4.260,79,111,8.055,3.603,6,748,8,38,574,1.115,476
