Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Albanien,121,"",8.306,8.234,72,3.980,-,-,-,-,3.757,223,29.508,526,-,-,-,-,3.754,200,-,-,-,-,3,19,4
Bosnien und Herzegowina,122,"",538,368,170,251,-,-,-,-,102,149,3.511,1.328,-,-,-,-,97,48,-,-,-,-,5,76,25
Belgien,124,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bulgarien,125,"",1,1,-,3,-,-,-,-,3,-,12,4,-,-,-,-,3,-,-,-,-,-,-,-,-
Estland,127,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Frankreich,129,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kroatien,130,"",3,1,2,-,-,-,-,-,-,-,16,17,-,-,-,-,-,-,-,-,-,-,-,-,-
Slowenien,131,"",-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Griechenland,134,"",-,-,-,-,-,-,-,-,-,-,14,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Italien,137,"",-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lettland,139,"",-,-,-,1,-,-,-,-,-,1,6,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Montenegro,140,"",329,293,36,73,-,-,-,-,58,15,2.379,270,-,-,-,-,57,10,-,-,-,-,1,4,1
Litauen,142,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mazedonien,144,"",1.470,882,588,367,-,6,-,2,219,140,5.689,3.565,-,6,-,2,203,48,-,-,-,-,16,63,29
Moldau (Republik),146,"",139,139,-,-,-,-,-,-,-,-,1.213,13,-,-,-,-,-,-,-,-,-,-,-,-,-
Niederlande,148,"",-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Kosovo,150,"",781,625,156,505,-,-,3,9,376,117,13.190,2.315,-,-,3,7,348,75,-,-,-,2,28,25,17
Polen,152,"",-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Portugal,153,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumänien,154,"",2,2,-,-,-,-,-,-,-,-,9,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Slowakische Republik,155,"",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweden,157,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweiz,158,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,"",470,377,93,182,-,9,12,-,23,138,6.219,1.149,-,9,10,-,12,94,-,-,2,-,11,1,43
Spanien,161,"",-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Türkei,163,"",85,77,8,38,3,6,5,-,11,13,2.778,393,1,3,5,-,10,10,2,3,-,-,1,-,3
Tschechische Republik,164,"",-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Ungarn,165,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Ukraine,166,"",226,212,14,46,-,1,-,-,1,44,5.035,103,-,1,-,-,1,43,-,-,-,-,-,-,1
Weißrußland,169,"",19,18,1,1,-,-,-,-,-,1,247,26,-,-,-,-,-,1,-,-,-,-,-,-,-
Serbien,170,"",2.479,1.371,1.108,675,-,-,-,-,369,306,11.008,6.303,-,-,-,-,353,84,-,-,-,-,16,169,53
sonst. europ. Staatsangeh.,199,"",-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Europa,"","",14.849,12.601,2.248,6.122,3,22,20,11,4.919,1.147,80.921,16.025,1,19,18,9,4.838,614,2,3,2,2,81,357,176
Algerien,221,"",163,155,8,71,-,-,1,1,14,55,2.921,207,-,-,1,1,14,50,-,-,-,-,-,-,5
Angola,223,"",-,-,-,3,-,-,-,-,1,2,159,7,-,-,-,-,-,2,-,-,-,-,1,-,-
Eritrea,224,"",983,978,5,541,1,508,7,3,-,22,17.988,132,1,507,7,2,-,21,-,1,-,1,-,-,1
Äthiopien,225,"",129,128,1,27,-,9,2,-,2,14,2.565,70,-,9,2,-,2,13,-,-,-,-,-,-,1
Botsuana,227,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,"",20,18,2,6,-,-,-,-,-,6,423,12,-,-,-,-,-,6,-,-,-,-,-,-,-
Dschibuti,230,"",2,2,-,3,-,-,-,-,-,3,22,1,-,-,-,-,-,3,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,"",61,60,1,35,-,-,1,2,-,32,342,22,-,-,1,2,-,31,-,-,-,-,-,-,1
Nigeria,232,"",481,476,5,82,-,-,1,2,1,78,7.915,189,-,-,1,2,1,77,-,-,-,-,-,1,-
Simbabwe,233,"",1,1,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabun,236,"",-,-,-,1,-,-,1,-,-,-,4,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Gambia,237,"",520,510,10,9,-,-,-,-,1,8,3.462,104,-,-,-,-,1,7,-,-,-,-,-,1,-
Ghana,238,"",75,75,-,35,-,-,-,-,2,33,1.612,50,-,-,-,-,1,32,-,-,-,-,1,1,-
Mauretanien,239,"",13,11,2,5,-,-,-,-,4,1,89,5,-,-,-,-,4,1,-,-,-,-,-,-,-
Kenia,243,"",3,2,1,11,-,-,-,-,7,4,145,9,-,-,-,-,7,3,-,-,-,-,-,-,1
Komoren,244,"",-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",3,3,-,5,-,-,-,1,2,2,109,5,-,-,-,1,2,2,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",22,22,-,6,-,1,-,2,3,-,484,30,-,1,-,2,3,-,-,-,-,-,-,-,-
Liberia,247,"",15,15,-,4,-,-,-,-,-,4,92,10,-,-,-,-,-,3,-,-,-,-,-,-,1
Libyen,248,"",47,47,-,23,3,3,-,-,-,17,1.254,35,3,3,-,-,-,16,-,-,-,-,-,-,1
Mali,251,"",44,39,5,24,-,-,-,-,-,24,756,25,-,-,-,-,-,22,-,-,-,-,-,-,2
Marokko,252,"",79,76,3,66,-,2,-,-,16,48,1.879,93,-,1,-,-,16,39,-,1,-,-,-,1,8
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Niger,255,"",4,4,-,8,-,-,-,-,-,8,122,17,-,-,-,-,-,7,-,-,-,-,-,-,1
Malawi,256,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sambia,257,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina-Faso,258,"",13,11,2,8,-,-,-,-,-,8,200,14,-,-,-,-,-,8,-,-,-,-,-,-,-
Guinea-Bissau,259,"",13,12,1,17,-,-,-,-,-,17,351,12,-,-,-,-,-,16,-,-,-,-,-,-,1
Guinea,261,"",37,29,8,47,1,7,-,4,9,26,2.122,90,1,7,-,4,9,19,-,-,-,-,-,1,6
Kamerun,262,"",145,145,-,4,-,-,-,-,-,4,980,39,-,-,-,-,-,2,-,-,-,-,-,1,1
Südafrika,263,"",-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ruanda,265,"",-,-,-,6,1,-,-,5,-,-,41,-,1,-,-,5,-,-,-,-,-,-,-,-,-
Namibia,267,"",-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Senegal,269,"",104,102,2,24,-,-,-,-,-,24,1.962,19,-,-,-,-,-,24,-,-,-,-,-,-,-
Sierra Leone,272,"",44,43,1,9,-,1,-,1,-,7,555,39,-,1,-,1,-,7,-,-,-,-,-,-,-
Somalia,273,"",369,355,14,144,-,48,31,6,9,50,8.444,296,-,47,31,5,9,45,-,1,-,1,-,1,4
Äquatorialguinea,274,"",-,-,-,1,-,-,-,-,-,1,10,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",176,174,2,47,-,4,20,-,-,23,1.083,34,-,4,19,-,-,22,-,-,1,-,-,-,1
Südsudan,278,"",1,1,-,-,-,-,-,-,-,-,42,6,-,-,-,-,-,-,-,-,-,-,-,-,-
Tansania,282,"",2,2,-,1,-,-,-,-,-,1,76,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Togo,283,"",48,47,1,-,-,-,-,-,-,-,298,24,-,-,-,-,-,-,-,-,-,-,-,-,-
Tschad,284,"",12,11,1,10,-,1,-,-,-,9,127,16,-,1,-,-,-,7,-,-,-,-,-,-,2
Tunesien,285,"",48,44,4,13,-,-,-,-,-,13,776,115,-,-,-,-,-,11,-,-,-,-,-,-,2
Uganda,286,"",12,12,-,2,-,1,-,-,-,1,166,8,-,1,-,-,-,-,-,-,-,-,-,-,1
Ägypten,287,"",48,44,4,86,34,21,1,4,12,14,2.744,66,34,21,1,4,12,13,-,-,-,-,-,-,1
