Herkunftsland, LS, ,ASYLANTRÄGE insgesamt, ASYLANTRÄGE davon Erstanträge, ASYLANTRÄGE davon Folgeanträge, ENTSCHEIDUNGEN über Asylanträge insgesamt, ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl), ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen, ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen, ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen, ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren, ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Albanien,121,"",1.308,1.202,106,5.693,-,2,8,5,4.838,840,19.541,680,-,2,3,5,4.809,776,-,-,5,-,29,64,-
Bosnien und Herzegowina,122,"",301,203,98,921,-,-,-,6,559,356,2.849,1.302,-,-,-,5,524,130,-,-,-,1,35,151,75
Belgien,124,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bulgarien,125,"",-,-,-,8,-,-,-,-,8,-,6,4,-,-,-,-,8,-,-,-,-,-,-,-,-
Estland,127,"",-,-,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Frankreich,129,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kroatien,130,"",-,-,-,2,-,-,-,-,-,2,11,12,-,-,-,-,-,2,-,-,-,-,-,-,-
Slowenien,131,"",-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Griechenland,134,"",1,1,-,-,-,-,-,-,-,-,12,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Italien,137,"",-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lettland,139,"",-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,140,"",145,133,12,696,-,-,-,-,619,77,1.152,226,-,-,-,-,604,52,-,-,-,-,15,25,-
Litauen,142,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mazedonien,144,"",366,236,130,1.521,-,-,-,5,1.217,299,5.241,3.922,-,-,-,-,1.123,133,-,-,-,5,94,118,48
Moldau (Republik),146,"",216,216,-,1,-,1,-,-,-,-,2.017,17,-,1,-,-,-,-,-,-,-,-,-,-,-
Niederlande,148,"",-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Kosovo,150,"",551,427,124,2.337,-,-,-,3,2.045,289,10.412,2.252,-,-,-,3,1.910,217,-,-,-,-,135,40,32
Polen,152,"",-,-,-,1,-,-,-,-,-,1,26,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Portugal,153,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumänien,154,"",1,-,1,2,-,-,-,-,-,2,8,3,-,-,-,-,-,1,-,-,-,-,-,1,-
Slowakische Republik,155,"",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweden,157,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweiz,158,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,"",307,240,67,411,-,11,1,9,162,228,6.833,1.196,-,10,1,8,151,176,-,1,-,1,11,24,28
Spanien,161,"",-,-,-,2,-,-,-,-,2,-,11,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Türkei,163,"",119,94,25,107,2,4,1,2,54,44,3.047,451,2,4,1,2,49,32,-,-,-,-,5,7,5
Tschechische Republik,164,"",-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Ungarn,165,"",2,1,1,-,-,-,-,-,-,-,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Ukraine,166,"",225,221,4,60,-,2,-,1,6,51,6.188,121,-,2,-,1,6,51,-,-,-,-,-,-,-
Großbritannien mit Nordirland,168,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Weißrußland,169,"",19,17,2,6,-,-,-,-,-,6,330,34,-,-,-,-,-,5,-,-,-,-,-,-,1
Serbien,170,"",910,473,437,2.976,-,-,-,3,2.203,770,8.625,6.622,-,-,-,3,2.053,197,-,-,-,-,150,454,119
Zypern,181,"",-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
sonst. europ. Staatsangeh.,199,"",2,-,2,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Europa,"","",4.473,3.464,1.009,14.747,2,20,10,34,11.716,2.965,66.373,16.861,2,19,5,27,11.242,1.773,-,1,5,7,474,884,308
Algerien,221,"",179,162,17,86,-,-,-,-,59,27,3.206,240,-,-,-,-,56,23,-,-,-,-,3,2,2
Angola,223,"",-,-,-,13,-,-,-,2,3,8,152,5,-,-,-,2,2,8,-,-,-,-,1,-,-
Eritrea,224,"",637,627,10,1.934,22,1.857,10,1,6,38,14.673,159,22,1.846,10,1,6,35,-,11,-,-,-,-,3
Äthiopien,225,"",113,111,2,42,-,5,-,3,13,21,3.500,71,-,5,-,3,13,19,-,-,-,-,-,-,2
Botsuana,227,"",-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,"",21,21,-,5,-,-,-,-,3,2,512,15,-,-,-,-,3,2,-,-,-,-,-,-,-
Dschibuti,230,"",1,1,-,1,-,-,-,-,-,1,23,1,-,-,-,-,-,1,-,-,-,-,-,-,-
