Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Albanien,121,"",54.762,53.805,957,35.721,-,7,33,36,31.150,4.495,23.929,624,-,7,33,35,31.086,4.074,-,-,-,1,64,340,81
Bosnien und Herzegowina,122,"",7.473,4.634,2.839,6.500,-,1,-,12,3.339,3.148,3.275,1.483,-,1,-,10,3.081,809,-,-,-,2,258,1.862,477
Belgien,124,"",3,3,-,2,-,-,-,-,-,2,3,-,-,-,-,-,-,1,-,-,-,-,-,1,-
Bulgarien,125,"",17,17,-,28,-,-,-,-,15,13,12,4,-,-,-,-,15,13,-,-,-,-,-,-,-
Estland,127,"",-,-,-,2,-,-,-,-,2,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Frankreich,129,"",3,3,-,4,-,-,-,-,4,-,1,-,-,-,-,-,4,-,-,-,-,-,-,-,-
Kroatien,130,"",20,16,4,22,-,-,-,-,14,8,13,12,-,-,-,-,10,4,-,-,-,-,4,-,4
Slowenien,131,"",1,1,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Griechenland,134,"",13,12,1,5,-,-,-,-,3,2,13,1,-,-,-,-,3,2,-,-,-,-,-,-,-
Italien,137,"",11,11,-,6,-,-,-,-,4,2,21,-,-,-,-,-,4,2,-,-,-,-,-,-,-
Lettland,139,"",2,1,1,2,-,-,-,-,1,1,6,1,-,-,-,-,-,1,-,-,-,-,1,-,-
Montenegro,140,"",3.635,3.233,402,2.297,-,-,3,4,1.855,435,1.681,247,-,-,3,3,1.775,188,-,-,-,1,80,215,32
Litauen,142,"",1,1,-,2,-,-,-,-,2,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Mazedonien,144,"",14.131,9.083,5.048,8.245,-,23,1,20,5.583,2.618,6.180,4.091,-,22,1,10,4.967,671,-,1,-,10,616,1.507,440
Moldau (Republik),146,"",1.567,1.561,6,44,-,2,-,1,24,17,1.803,17,-,2,-,1,24,16,-,-,-,-,-,-,1
