Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Algerien,221,"",159,145,14,127,1,2,-,-,46,78,3.125,226,-,2,-,-,44,72,1,-,-,-,2,4,2
Angola,223,"",7,7,-,6,-,-,-,-,6,-,165,7,-,-,-,-,6,-,-,-,-,-,-,-,-
Eritrea,224,"",1.259,1.249,10,2.679,15,2.578,12,1,5,68,17.489,146,15,2.575,12,1,5,61,-,3,-,-,-,-,7
Äthiopien,225,"",243,243,-,43,-,5,1,3,12,22,3.212,69,-,5,1,3,10,21,-,-,-,-,2,1,-
Botsuana,227,"",1,-,1,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,"",20,20,-,8,-,-,-,-,2,6,488,11,-,-,-,-,2,3,-,-,-,-,-,-,3
Dschibuti,230,"",1,1,-,-,-,-,-,-,-,-,22,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,"",32,31,1,39,-,-,-,1,5,33,393,20,-,-,-,1,5,33,-,-,-,-,-,-,-
Nigeria,232,"",232,228,4,95,1,3,2,5,24,60,8.865,199,1,3,2,5,24,57,-,-,-,-,-,1,2
Simbabwe,233,"",2,2,-,1,-,-,1,-,-,-,22,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Gabun,236,"",1,1,-,1,-,-,-,-,-,1,5,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Gambia,237,"",211,203,8,50,2,2,-,-,8,38,4.273,126,2,2,-,-,8,32,-,-,-,-,-,-,6
Ghana,238,"",41,41,-,22,-,-,-,1,4,17,1.712,52,-,-,-,-,4,16,-,-,-,1,-,1,-
Mauretanien,239,"",16,15,1,12,-,-,-,-,4,8,100,5,-,-,-,-,4,8,-,-,-,-,-,-,-
Cabo Verde,242,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenia,243,"",5,5,-,9,-,-,-,-,3,6,143,11,-,-,-,-,3,6,-,-,-,-,-,-,-
Komoren,244,"",-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",2,2,-,4,-,-,-,-,3,1,105,5,-,-,-,-,3,1,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",1,1,-,29,-,-,1,3,20,5,456,32,-,-,1,3,20,5,-,-,-,-,-,-,-
Liberia,247,"",5,5,-,2,-,-,-,-,-,2,101,8,-,-,-,-,-,2,-,-,-,-,-,-,-
Libyen,248,"",115,115,-,45,6,5,-,2,12,20,1.385,39,6,5,-,2,12,20,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Mali,251,"",31,30,1,30,-,1,-,1,4,24,805,24,-,1,-,1,4,24,-,-,-,-,-,-,-
Marokko,252,"",167,158,9,109,-,2,1,4,64,38,1.973,83,-,2,1,4,63,33,-,-,-,-,1,3,2
Mauritius,253,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Niger,255,"",20,18,2,8,-,-,-,-,2,6,157,20,-,-,-,-,2,4,-,-,-,-,-,-,2
Malawi,256,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sambia,257,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina-Faso,258,"",22,21,1,6,-,-,-,-,3,3,263,11,-,-,-,-,2,2,-,-,-,-,1,-,1
Guinea-Bissau,259,"",45,45,-,7,-,-,-,-,2,5,440,11,-,-,-,-,2,5,-,-,-,-,-,-,-
Guinea,261,"",34,28,6,47,1,6,1,1,26,12,2.145,97,1,6,1,-,25,7,-,-,-,1,1,1,4
Kamerun,262,"",92,85,7,32,-,-,-,-,13,19,1.201,50,-,-,-,-,13,13,-,-,-,-,-,3,3
Südafrika,263,"",-,-,-,1,-,-,-,-,-,1,19,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Ruanda,265,"",6,6,-,1,-,-,-,-,1,-,41,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Namibia,267,"",1,1,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Senegal,269,"",39,39,-,23,-,-,-,-,6,17,2.089,24,-,-,-,-,6,17,-,-,-,-,-,-,-
Sierra Leone,272,"",2,2,-,16,-,1,-,2,6,7,591,39,-,1,-,2,6,7,-,-,-,-,-,-,-
Somalia,273,"",342,322,20,186,-,51,17,21,16,81,9.232,326,-,51,17,17,16,67,-,-,-,4,-,3,11
Äquatorialguinea,274,"",-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",76,73,3,29,-,3,4,-,4,18,1.231,36,-,3,4,-,4,16,-,-,-,-,-,-,2
Südsudan,278,"",5,5,-,7,6,-,-,-,-,1,42,6,6,-,-,-,-,1,-,-,-,-,-,-,-
Tansania,282,"",1,-,1,-,-,-,-,-,-,-,80,4,-,-,-,-,-,-,-,-,-,-,-,-,-
Togo,283,"",29,28,1,4,-,-,-,-,3,1,378,25,-,-,-,-,3,1,-,-,-,-,-,-,-
Tschad,284,"",8,8,-,8,-,-,-,-,3,5,144,14,-,-,-,-,3,3,-,-,-,-,-,-,2
Tunesien,285,"",37,33,4,47,-,-,-,-,32,15,818,114,-,-,-,-,31,11,-,-,-,-,1,2,2
Uganda,286,"",1,1,-,2,1,1,-,-,-,-,175,8,1,1,-,-,-,-,-,-,-,-,-,-,-
Ägypten,287,"",82,82,-,62,5,15,-,7,22,13,2.767,69,5,15,-,7,22,11,-,-,-,-,-,1,1
Zentralafrikanische Republik,289,"",4,4,-,-,-,-,-,-,-,-,57,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,291,"",1,1,-,1,-,-,-,-,1,-,7,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
sonst. afrik. Staatsangeh.,299,"",3,3,-,8,-,-,-,3,4,1,99,10,-,-,-,3,4,1,-,-,-,-,-,-,-
Afrika,"","",3.401,3.307,94,3.807,38,2.675,40,55,367,632,66.851,1.933,37,2.672,40,49,359,562,1,3,-,6,8,20,50
Argentinien,323,"",-,-,-,1,-,-,-,-,-,1,4,2,-,-,-,-,-,-,-,-,-,-,-,1,-
Brasilien,327,"",-,-,-,5,-,-,-,1,-,4,10,-,-,-,-,1,-,4,-,-,-,-,-,-,-
Belize,330,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,336,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,"",-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haiti,346,"",3,2,1,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kanada,348,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,"",-,-,-,-,-,-,-,-,-,-,38,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuba,351,"",13,13,-,8,-,-,-,-,-,8,151,2,-,-,-,-,-,8,-,-,-,-,-,-,-
Mexico,353,"",1,1,-,1,-,-,-,-,1,-,5,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Nicaragua,354,"",1,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,355,"",3,3,-,3,-,-,-,-,1,2,26,1,-,-,-,-,1,2,-,-,-,-,-,-,-
Paraguay,359,"",2,2,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",-,-,-,1,-,-,-,-,1,-,8,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Venezuela,367,"",-,-,-,1,-,-,-,-,-,1,27,1,-,-,-,-,-,-,-,-,-,-,-,1,-
Vereinigte Staaten v. Amerika,368,"",1,1,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad und Tobago,371,"",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Amerika,"","",25,24,1,21,-,-,-,1,4,16,317,9,-,-,-,1,4,14,-,-,-,-,-,2,-
Jemen,421,"",27,27,-,1,-,-,-,-,-,1,464,34,-,-,-,-,-,1,-,-,-,-,-,-,-
Armenien,422,"",139,128,11,62,-,1,1,5,32,23,3.867,306,-,1,1,4,32,23,-,-,-,1,-,-,-
Afghanistan,423,"",4.976,4.929,47,635,10,164,22,117,107,215,33.421,877,9,152,19,104,106,209,1,12,3,13,1,4,2
Bahrain,424,"",-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aserbaidschan,425,"",94,88,6,22,-,-,-,3,13,6,2.536,287,-,-,-,1,12,5,-,-,-,2,1,1,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Bhutan,426,"",-,-,-,2,-,-,-,-,2,-,12,4,-,-,-,-,2,-,-,-,-,-,-,-,-
Myanmar,427,"",4,4,-,1,-,-,-,-,-,1,156,3,-,-,-,-,-,1,-,-,-,-,-,-,-
Georgien,430,"",305,284,21,158,-,-,-,1,108,49,3.262,404,-,-,-,1,98,34,-,-,-,-,10,5,10
Sri Lanka,431,"",18,13,5,14,-,6,-,-,4,4,900,172,-,6,-,-,4,1,-,-,-,-,-,3,-
Vietnam,432,"",21,18,3,30,-,-,-,1,12,17,955,70,-,-,-,1,10,13,-,-,-,-,2,1,3
Korea (Demokrat. Volksrepubl.),434,"",5,5,-,-,-,-,-,-,-,-,113,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Indien,436,"",245,242,3,75,-,-,-,-,63,12,3.454,79,-,-,-,-,62,9,-,-,-,-,1,2,1
Indonesien,437,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irak,438,"",4.479,4.391,88,2.276,41,1.909,57,12,29,228,19.064,1.852,41,1.825,42,9,25,212,-,84,15,3,4,5,11
"Iran, Islamische Republik",439,"",963,934,29,221,14,103,3,2,31,68,7.038,602,14,101,3,1,31,61,-,2,-,1,-,1,6
Israel,441,"",2,2,-,1,-,-,-,-,1,-,49,6,-,-,-,-,1,-,-,-,-,-,-,-,-
Kasachstan,444,"",21,21,-,6,-,-,-,-,-,6,125,24,-,-,-,-,-,6,-,-,-,-,-,-,-
Jordanien,445,"",15,15,-,10,-,2,-,-,3,5,207,29,-,2,-,-,2,5,-,-,-,-,1,-,-
Kambodscha,446,"",-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",1,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",4,4,-,5,-,-,-,-,1,4,97,20,-,-,-,-,1,4,-,-,-,-,-,-,-
Libanon,451,"",307,281,26,49,-,4,-,3,26,16,1.336,192,-,4,-,-,25,12,-,-,-,3,1,4,-
Oman,456,"",2,2,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",16,13,3,18,-,-,-,-,13,5,596,35,-,-,-,-,13,2,-,-,-,-,-,-,3
Nepal,458,"",4,4,-,-,-,-,-,-,-,-,27,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",17,17,-,5,-,1,-,-,2,2,321,1,-,1,-,-,2,2,-,-,-,-,-,-,-
Bangladesch,460,"",131,127,4,73,-,4,-,1,48,20,1.107,51,-,4,-,-,48,17,-,-,-,1,-,3,-
Pakistan,461,"",1.272,1.257,15,207,1,8,-,-,94,104,12.659,463,1,8,-,-,94,90,-,-,-,-,-,7,7
Philippinen,462,"",1,1,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
China (Taiwan),465,"",5,5,-,-,-,-,-,-,-,-,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea (Republik),467,"",3,3,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vereinigte arabische Emirate,469,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Tadschikistan,470,"",19,18,1,18,-,-,-,-,3,15,392,35,-,-,-,-,3,13,-,-,-,-,-,1,1
Turkmenistan,471,"",40,40,-,-,-,-,-,-,-,-,644,14,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabien,472,"",7,7,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,"",30.573,30.398,175,19.461,51,19.199,4,39,4,164,74.875,1.734,51,18.949,4,12,3,158,-,250,-,27,1,1,5
Thailand,476,"",1,-,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Usbekistan,477,"",3,3,-,1,-,1,-,-,-,-,32,2,-,1,-,-,-,-,-,-,-,-,-,-,-
China,479,"",47,46,1,30,-,2,-,-,25,3,1.063,67,-,2,-,-,25,3,-,-,-,-,-,-,-
Malaysia,482,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,"",534,533,1,262,-,232,-,-,20,10,2.856,152,-,221,-,-,20,9,-,11,-,-,-,-,1
Asien,"","",44.301,43.861,440,23.643,117,21.636,87,184,641,978,171.730,7.520,116,21.277,69,133,619,890,1,359,18,51,22,38,50
Staatenlos,997,"",724,718,6,231,-,226,-,-,2,3,2.858,76,-,225,-,-,2,3,-,1,-,-,-,-,-
Ungeklärt,998,"",1.618,1.601,17,296,1,244,2,8,20,21,6.914,329,1,232,2,7,20,19,-,12,-,1,-,2,-
ohne Angabe,999,"",2,2,-,-,-,-,-,-,-,-,43,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Unbekannt,"","",2.344,2.321,23,527,1,470,2,8,22,24,9.815,408,1,457,2,7,22,22,-,13,-,1,-,2,-
Herkunftsländer gesamt,"","",57.816,55.950,1.866,35.422,156,24.815,141,288,5.833,4.189,328.343,27.571,154,24.437,123,229,5.658,3.188,2,378,18,59,175,711,290
