Herkunftsland, LS, ,ASYLANTRÄGE insgesamt, ASYLANTRÄGE davon Erstanträge, ASYLANTRÄGE davon Folgeanträge, ENTSCHEIDUNGEN über Asylanträge insgesamt, ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl), ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen, ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen, ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen, ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren, ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Albanien,121,"",6.741,6.624,117,7.394,-,-,3,6,6.827,558,28.928,593,-,-,3,6,6.820,512,-,-,-,-,7,39,7
Bosnien und Herzegowina,122,"",614,369,245,520,-,-,-,4,285,231,3.527,1.424,-,-,-,3,273,96,-,-,-,1,12,103,32
Belgien,124,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bulgarien,125,"",-,-,-,2,-,-,-,-,-,2,10,4,-,-,-,-,-,2,-,-,-,-,-,-,-
Estland,127,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Frankreich,129,"",-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Kroatien,130,"",-,-,-,1,-,-,-,-,1,-,15,17,-,-,-,-,1,-,-,-,-,-,-,-,-
Slowenien,131,"",-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Griechenland,134,"",-,-,-,-,-,-,-,-,-,-,14,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Italien,137,"",-,-,-,1,-,1,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Lettland,139,"",-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,140,"",198,180,18,309,-,-,-,-,254,55,2.276,273,-,-,-,-,250,39,-,-,-,-,4,14,2
Litauen,142,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mazedonien,144,"",1.381,879,502,701,-,5,-,5,511,180,6.063,3.939,-,5,-,5,485,72,-,-,-,-,26,72,36
Moldau (Republik),146,"",204,204,-,11,-,-,-,-,11,-,1.404,13,-,-,-,-,11,-,-,-,-,-,-,-,-
Niederlande,148,"",-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Kosovo,150,"",796,622,174,988,-,-,-,12,829,147,13.068,2.362,-,-,-,9,768,88,-,-,-,3,61,43,16
Polen,152,"",-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Portugal,153,"",-,-,-,1,-,-,-,1,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Rumänien,154,"",-,-,-,-,-,-,-,-,-,-,8,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Slowakische Republik,155,"",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweden,157,"",1,1,-,2,-,-,-,-,1,1,2,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Schweiz,158,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,"",621,568,53,331,1,32,1,6,33,258,6.540,1.185,1,28,1,6,32,222,-,4,-,-,1,8,28
Spanien,161,"",-,-,-,1,-,-,-,-,-,1,11,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Türkei,163,"",134,115,19,38,1,4,1,-,11,21,2.887,412,1,2,1,-,10,19,-,2,-,-,1,-,2
Tschechische Republik,164,"",-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Ungarn,165,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Ukraine,166,"",395,390,5,120,1,8,-,1,2,108,5.316,107,1,8,-,1,2,107,-,-,-,-,-,-,1
Weißrußland,169,"",29,29,-,12,-,4,-,-,-,8,264,26,-,4,-,-,-,8,-,-,-,-,-,-,-
