Herkunftsland, LS, ,ASYLANTRÄGE insgesamt, ASYLANTRÄGE davon Erstanträge, ASYLANTRÄGE davon Folgeanträge, ENTSCHEIDUNGEN über Asylanträge insgesamt, ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl), ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen, ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen, ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen, ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren, ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Polen,152,"",1,1,-,1,-,-,-,-,1,-,21,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Portugal,153,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumänien,154,"",-,-,-,-,-,-,-,-,-,-,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweden,157,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweiz,158,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,"",393,341,52,423,-,10,3,2,138,270,5.317,831,-,10,3,-,129,188,-,-,-,2,9,15,67
Spanien,161,"",-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Türkei,163,"",173,143,30,76,5,2,-,-,20,49,2.435,345,4,1,-,-,17,32,1,1,-,-,3,8,9
Tschechische Republik,164,"",-,-,-,6,-,-,-,-,4,2,6,5,-,-,-,-,4,2,-,-,-,-,-,-,-
Ungarn,165,"",-,-,-,1,-,-,-,-,-,1,5,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Ukraine,166,"",340,337,3,105,-,4,-,-,2,99,2.939,54,-,4,-,-,2,98,-,-,-,-,-,-,1
Großbritannien mit Nordirland,168,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Weißrußland,169,"",8,8,-,4,-,-,-,-,-,4,130,12,-,-,-,-,-,3,-,-,-,-,-,-,1
Serbien,170,"",2.849,1.871,978,2.788,-,-,-,-,1.733,1.055,8.171,4.512,-,-,-,-,1.599,106,-,-,-,-,134,860,89
Zypern,181,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. europ. Staatsangeh.,199,"",-,-,-,14,-,-,-,-,14,-,17,5,-,-,-,-,14,-,-,-,-,-,-,-,-
Europa,"","",15.198,12.492,2.706,7.539,5,22,3,11,4.869,2.629,46.510,11.939,4,21,3,7,4.473,874,1,1,-,4,396,1.416,339
Algerien,221,"",116,103,13,84,-,-,-,1,15,68,2.141,142,-,-,-,1,15,62,-,-,-,-,-,2,4
Angola,223,"",1,1,-,3,-,-,-,1,-,2,173,8,-,-,-,1,-,2,-,-,-,-,-,-,-
Eritrea,224,"",357,350,7,371,3,260,18,5,1,84,15.579,81,3,256,18,4,1,83,-,4,-,1,-,1,-
Äthiopien,225,"",79,78,1,30,-,2,1,4,9,14,1.742,54,-,2,1,4,9,13,-,-,-,-,-,1,-
Botsuana,227,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,"",24,24,-,9,-,-,-,-,2,7,269,5,-,-,-,-,2,6,-,-,-,-,-,1,-
Dschibuti,230,"",1,1,-,2,-,-,-,-,-,2,15,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,"",28,28,-,23,-,-,2,-,4,17,238,14,-,-,2,-,4,16,-,-,-,-,-,-,1
Nigeria,232,"",424,416,8,126,-,-,-,-,18,108,5.499,135,-,-,-,-,17,107,-,-,-,-,1,-,1
Simbabwe,233,"",-,-,-,1,-,-,1,-,-,-,29,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Gabun,236,"",1,1,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gambia,237,"",181,171,10,106,-,-,-,1,6,99,2.145,47,-,-,-,1,6,99,-,-,-,-,-,-,-
Ghana,238,"",84,81,3,59,-,-,-,-,23,36,1.229,37,-,-,-,-,23,35,-,-,-,-,-,-,1
Mauretanien,239,"",14,13,1,7,-,1,-,-,-,6,50,1,-,1,-,-,-,6,-,-,-,-,-,-,-
Kenia,243,"",22,22,-,15,-,-,-,-,9,6,190,3,-,-,-,-,9,6,-,-,-,-,-,-,-
Komoren,244,"",-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",3,3,-,1,-,-,-,-,1,-,87,5,-,-,-,-,1,-,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",9,8,1,2,-,1,-,-,-,1,466,33,-,1,-,-,-,1,-,-,-,-,-,-,-
Liberia,247,"",9,4,5,6,-,-,-,-,-,6,62,10,-,-,-,-,-,6,-,-,-,-,-,-,-
Libyen,248,"",46,45,1,17,7,3,-,1,2,4,755,33,7,3,-,1,2,3,-,-,-,-,-,-,1
Mali,251,"",42,41,1,49,-,-,-,-,14,35,612,10,-,-,-,-,14,34,-,-,-,-,-,-,1
Marokko,252,"",65,58,7,101,-,-,-,-,46,55,1.428,59,-,-,-,-,46,45,-,-,-,-,-,1,9
Mauritius,253,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Mosambik,254,"",-,-,-,1,-,-,-,-,-,1,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Niger,255,"",14,14,-,11,-,-,-,-,1,10,96,10,-,-,-,-,1,8,-,-,-,-,-,-,2
Malawi,256,"",2,2,-,2,-,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Sambia,257,"",1,1,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina-Faso,258,"",21,19,2,12,-,-,-,-,-,12,185,7,-,-,-,-,-,11,-,-,-,-,-,-,1
Guinea-Bissau,259,"",29,29,-,17,-,-,-,-,1,16,279,12,-,-,-,-,1,15,-,-,-,-,-,-,1
Guinea,261,"",34,27,7,34,-,2,-,-,-,32,1.888,56,-,2,-,-,-,28,-,-,-,-,-,-,4
Kamerun,262,"",86,81,5,28,-,-,-,-,4,24,722,34,-,-,-,-,4,20,-,-,-,-,-,1,3
Südafrika,263,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ruanda,265,"",6,6,-,1,-,-,-,-,-,1,46,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Namibia,267,"",2,2,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,"",116,114,2,7,-,-,-,-,-,7,1.352,12,-,-,-,-,-,7,-,-,-,-,-,-,-
Sierra Leone,272,"",28,27,1,-,-,-,-,-,-,-,414,29,-,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,273,"",442,418,24,148,-,11,23,4,15,95,6.547,212,-,11,22,4,15,86,-,-,1,-,-,1,8
Äquatorialguinea,274,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",31,31,-,30,-,4,1,1,5,19,660,21,-,4,1,-,5,18,-,-,-,1,-,-,1
Südsudan,278,"",2,2,-,2,-,-,-,-,-,2,27,5,-,-,-,-,-,2,-,-,-,-,-,-,-
Swasiland,281,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tansania,282,"",5,5,-,-,-,-,-,-,-,-,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Togo,283,"",13,12,1,7,-,-,-,-,1,6,223,20,-,-,-,-,1,5,-,-,-,-,-,1,-
Tschad,284,"",10,8,2,28,-,-,-,-,1,27,123,19,-,-,-,-,1,18,-,-,-,-,-,3,6
Tunesien,285,"",49,44,5,51,-,-,-,-,26,25,469,73,-,-,-,-,26,16,-,-,-,-,-,2,7
Uganda,286,"",8,8,-,-,-,-,-,-,-,-,129,8,-,-,-,-,-,-,-,-,-,-,-,-,-
Ägypten,287,"",81,76,5,42,6,5,-,1,3,27,2.716,45,6,5,-,1,3,25,-,-,-,-,-,1,1
Zentralafrikanische Republik,289,"",1,1,-,-,-,-,-,-,-,-,43,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,291,"",-,-,-,2,-,-,-,-,2,-,7,-,-,-,-,-,2,-,-,-,-,-,-,-,-
sonst. afrik. Staatsangeh.,299,"",-,-,-,3,-,-,-,-,3,-,46,12,-,-,-,-,3,-,-,-,-,-,-,-,-
Afrika,"","",2.487,2.375,112,1.438,16,289,46,19,214,854,48.800,1.253,16,285,45,17,213,787,-,4,1,2,1,15,52
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Argentinien,323,"",-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Brasilien,327,"",-,-,-,1,-,-,-,-,-,1,15,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Chile,332,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,336,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,"",-,-,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Kolumbien,349,"",-,-,-,1,-,-,-,-,1,-,44,2,-,-,-,-,1,-,-,-,-,-,-,-,-
Kuba,351,"",4,4,-,1,-,-,-,-,-,1,93,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Mexico,353,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,355,"",-,-,-,-,-,-,-,-,-,-,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguay,359,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",1,1,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suriname,364,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,367,"",-,-,-,-,-,-,-,-,-,-,14,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,"",-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad und Tobago,371,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,"","",6,6,-,4,-,-,-,-,2,2,242,7,-,-,-,-,2,2,-,-,-,-,-,-,-
Jemen,421,"",17,17,-,2,-,1,1,-,-,-,231,17,-,1,1,-,-,-,-,-,-,-,-,-,-
Armenien,422,"",162,160,2,48,-,2,-,4,18,24,2.798,178,-,2,-,4,18,22,-,-,-,-,-,-,2
Afghanistan,423,"",998,969,29,483,9,89,14,56,69,246,13.724,712,9,81,12,42,69,218,-,8,2,14,-,9,19
Bahrain,424,"",2,2,-,-,-,-,-,-,-,-,24,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Aserbaidschan,425,"",92,81,11,51,-,3,-,2,21,25,1.789,186,-,3,-,2,21,24,-,-,-,-,-,1,-
Bhutan,426,"",-,-,-,-,-,-,-,-,-,-,16,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,427,"",4,4,-,1,-,-,-,-,-,1,132,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Georgien,430,"",227,204,23,191,-,-,-,1,89,101,2.605,260,-,-,-,1,88,78,-,-,-,-,1,2,21
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Sri Lanka,431,"",30,25,5,10,-,2,-,-,3,5,833,132,-,2,-,-,3,5,-,-,-,-,-,-,-
Vietnam,432,"",62,60,2,43,-,-,-,-,10,33,676,60,-,-,-,-,9,29,-,-,-,-,1,3,1
Korea (Demokrat. Volksrepubl.),434,"",-,-,-,-,-,-,-,-,-,-,83,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Indien,436,"",124,120,4,65,-,-,-,-,56,9,2.269,61,-,-,-,-,56,9,-,-,-,-,-,-,-
Indonesien,437,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irak,438,"",960,835,125,1.348,6,1.241,13,5,5,78,5.678,3.226,6,533,6,3,5,72,-,708,7,2,-,3,3
"Iran, Islamische Republik",439,"",229,208,21,215,12,93,2,-,5,103,4.889,470,10,79,1,-,5,99,2,14,1,-,-,1,3
Israel,441,"",1,-,1,-,-,-,-,-,-,-,42,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Japan,442,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasachstan,444,"",7,7,-,9,-,-,-,-,6,3,104,15,-,-,-,-,6,3,-,-,-,-,-,-,-
Jordanien,445,"",5,5,-,6,1,1,-,-,3,1,137,22,1,1,-,-,1,1,-,-,-,-,2,-,-
Kambodscha,446,"",-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",19,19,-,18,-,-,-,-,5,13,88,17,-,-,-,-,5,13,-,-,-,-,-,-,-
Libanon,451,"",86,84,2,40,-,3,-,-,10,27,776,129,-,2,-,-,7,23,-,1,-,-,3,2,2
Oman,456,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",34,30,4,26,-,-,-,-,1,25,517,14,-,-,-,-,-,25,-,-,-,-,1,-,-
Nepal,458,"",-,-,-,1,-,-,-,-,1,-,27,2,-,-,-,-,1,-,-,-,-,-,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",27,27,-,9,-,3,-,-,-,6,181,1,-,3,-,-,-,6,-,-,-,-,-,-,-
Bangladesch,460,"",41,39,2,22,-,1,-,-,12,9,817,35,-,1,-,-,12,9,-,-,-,-,-,-,-
Pakistan,461,"",360,342,18,191,-,7,-,-,113,71,7.168,348,-,7,-,-,113,64,-,-,-,-,-,4,3
Philippinen,462,"",-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
China (Taiwan),465,"",8,8,-,1,-,-,-,-,1,-,13,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Korea (Republik),467,"",-,-,-,2,-,-,-,-,-,2,7,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Tadschikistan,470,"",51,51,-,24,-,-,-,-,-,24,330,36,-,-,-,-,-,24,-,-,-,-,-,-,-
Turkmenistan,471,"",27,27,-,4,-,-,-,-,1,3,473,7,-,-,-,-,1,-,-,-,-,-,-,-,3
Saudi Arabien,472,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
"Syrien, Arabische Republik",475,"",4.237,4.023,214,5.093,153,4.020,4,19,1,896,19.806,1.126,153,3.831,4,11,1,884,-,189,-,8,-,4,8
Thailand,476,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Usbekistan,477,"",4,4,-,-,-,-,-,-,-,-,30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
China,479,"",23,22,1,12,1,2,1,-,6,2,712,49,1,2,1,-,6,2,-,-,-,-,-,-,-
Malaysia,482,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,"",133,130,3,138,-,75,-,-,10,53,1.432,118,-,57,-,-,9,52,-,18,-,-,1,-,1
Asien,"","",7.970,7.503,467,8.053,182,5.543,35,87,446,1.760,68.452,7.237,180,4.605,25,63,437,1.665,2,938,10,24,9,29,66
Salomonen,524,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australien,"","",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatenlos,997,"",138,133,5,181,-,133,-,1,1,46,1.069,58,-,117,-,1,1,46,-,16,-,-,-,-,-
Ungeklärt,998,"",284,266,18,365,2,273,-,1,20,69,2.653,191,2,253,-,1,20,66,-,20,-,-,-,2,1
ohne Angabe,999,"",-,-,-,-,-,-,-,-,-,-,22,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Unbekannt,"","",422,399,23,546,2,406,-,2,21,115,3.744,250,2,370,-,2,21,112,-,36,-,-,-,2,1
Herkunftsländer gesamt,"","",26.083,22.775,3.308,17.580,205,6.260,84,119,5.552,5.360,167.749,20.686,202,5.281,73,89,5.146,3.440,3,979,11,30,406,1.462,458
