Herkunftsland, LS, ,ASYLANTRÄGE insgesamt, ASYLANTRÄGE davon Erstanträge, ASYLANTRÄGE davon Folgeanträge, ENTSCHEIDUNGEN über Asylanträge insgesamt, ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl), ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen, ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen, ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen, ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren, ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Schweden,157,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweiz,158,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,"",368,278,90,415,3,7,-,27,110,268,5.374,880,3,7,-,11,101,172,-,-,-,16,9,14,82
Spanien,161,"",-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Türkei,163,"",125,107,18,87,-,8,5,1,31,42,2.478,356,-,8,5,-,30,37,-,-,-,1,1,3,2
Tschechische Republik,164,"",-,-,-,-,-,-,-,-,-,-,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Ungarn,165,"",-,-,-,1,-,-,-,-,-,1,4,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Ukraine,166,"",395,392,3,104,-,3,-,-,-,101,3.229,60,-,3,-,-,-,99,-,-,-,-,-,-,2
Großbritannien mit Nordirland,168,"",-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Weißrußland,169,"",30,28,2,2,-,-,-,-,-,2,155,14,-,-,-,-,-,2,-,-,-,-,-,-,-
Serbien,170,"",2.833,1.709,1.124,2.177,-,-,-,3,1.365,809,8.528,4.946,-,-,-,3,1.282,145,-,-,-,-,83,576,88
Zypern,181,"",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
sonst. europ. Staatsangeh.,199,"",1,1,-,7,-,-,-,-,4,3,15,1,-,-,-,-,4,2,-,-,-,-,-,1,-
Europa,"","",20.739,18.066,2.673,12.858,3,20,6,46,10.220,2.563,53.995,12.774,3,20,5,27,9.683,1.089,-,-,1,19,537,1.143,331
Algerien,221,"",205,185,20,75,-,-,-,-,22,53,2.267,154,-,-,-,-,22,45,-,-,-,-,-,2,6
Angola,223,"",12,10,2,5,-,1,-,1,1,2,178,10,-,1,-,1,1,2,-,-,-,-,-,-,-
Eritrea,224,"",316,306,10,359,2,225,15,5,5,107,15.579,94,2,225,15,2,5,105,-,-,-,3,-,-,2
Äthiopien,225,"",49,44,5,23,-,6,-,-,2,15,1.782,59,-,5,-,-,2,15,-,1,-,-,-,-,-
Botsuana,227,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,"",25,25,-,12,-,-,-,-,4,8,285,5,-,-,-,-,4,8,-,-,-,-,-,-,-
Dschibuti,230,"",2,2,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,"",36,34,2,16,-,-,-,-,4,12,258,16,-,-,-,-,4,11,-,-,-,-,-,-,1
Nigeria,232,"",281,268,13,107,-,11,3,5,7,81,5.666,160,-,11,2,5,7,81,-,-,1,-,-,-,-
Simbabwe,233,"",-,-,-,1,-,-,-,-,1,-,28,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Gabun,236,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gambia,237,"",119,103,16,59,-,1,-,-,4,54,2.202,63,-,1,-,-,4,54,-,-,-,-,-,-,-
Ghana,238,"",113,108,5,36,-,-,-,1,12,23,1.313,40,-,-,-,1,11,22,-,-,-,-,1,1,-
Mauretanien,239,"",20,15,5,10,-,-,-,-,-,10,58,3,-,-,-,-,-,7,-,-,-,-,-,-,3
Kenia,243,"",17,17,-,11,-,-,-,-,5,6,197,5,-,-,-,-,5,5,-,-,-,-,-,-,1
Komoren,244,"",-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",3,3,-,-,-,-,-,-,-,-,90,5,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",9,9,-,6,-,-,1,-,3,2,474,31,-,-,1,-,3,1,-,-,-,-,-,1,-
Liberia,247,"",7,6,1,2,-,-,-,-,-,2,67,10,-,-,-,-,-,1,-,-,-,-,-,-,1
Libyen,248,"",113,111,2,39,9,1,-,-,1,28,843,35,9,1,-,-,1,28,-,-,-,-,-,-,-
Mali,251,"",38,35,3,31,-,-,-,-,10,21,617,13,-,-,-,-,10,19,-,-,-,-,-,-,2
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Marokko,252,"",176,161,15,60,-,-,1,1,19,39,1.539,70,-,-,1,1,18,35,-,-,-,-,1,-,4
Mauritius,253,"",-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Niger,255,"",12,10,2,8,-,-,-,-,2,6,98,11,-,-,-,-,2,4,-,-,-,-,-,-,2
Malawi,256,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sambia,257,"",-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina-Faso,258,"",18,17,1,21,-,-,-,-,9,12,180,8,-,-,-,-,9,11,-,-,-,-,-,-,1
Guinea-Bissau,259,"",40,40,-,23,-,-,-,-,-,23,302,7,-,-,-,-,-,18,-,-,-,-,-,-,5
Guinea,261,"",55,51,4,24,-,4,-,3,1,16,1.928,55,-,2,-,2,-,14,-,2,-,1,1,-,2
Kamerun,262,"",53,53,-,47,-,-,1,2,9,35,732,31,-,-,-,2,9,35,-,-,1,-,-,-,-
Südafrika,263,"",1,1,-,1,-,-,-,-,1,-,8,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Ruanda,265,"",4,4,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Namibia,267,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,"",50,49,1,22,-,-,-,-,-,22,1.384,12,-,-,-,-,-,21,-,-,-,-,-,-,1
Sierra Leone,272,"",23,18,5,6,-,-,-,-,-,6,427,33,-,-,-,-,-,5,-,-,-,-,-,-,1
Somalia,273,"",297,283,14,188,-,36,16,9,19,108,6.725,217,-,35,16,7,19,91,-,1,-,2,-,6,11
Äquatorialguinea,274,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",49,44,5,36,2,2,7,2,9,14,675,25,2,2,7,1,9,13,-,-,-,1,-,-,1
Südsudan,278,"",1,1,-,1,-,-,-,-,-,1,28,5,-,-,-,-,-,1,-,-,-,-,-,-,-
Swasiland,281,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tansania,282,"",2,2,-,-,-,-,-,-,-,-,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Togo,283,"",5,5,-,10,-,-,-,-,2,8,216,20,-,-,-,-,2,8,-,-,-,-,-,-,-
Tschad,284,"",23,21,2,22,-,-,-,1,8,13,127,24,-,-,-,-,8,4,-,-,-,1,-,1,8
Tunesien,285,"",112,106,6,56,-,-,-,-,20,36,525,79,-,-,-,-,20,34,-,-,-,-,-,1,1
Uganda,286,"",3,2,1,-,-,-,-,-,-,-,131,9,-,-,-,-,-,-,-,-,-,-,-,-,-
Ägypten,287,"",95,87,8,63,7,-,1,1,8,46,2.750,50,7,-,1,-,8,43,-,-,-,1,-,-,3
Zentralafrikanische Republik,289,"",3,3,-,-,-,-,-,-,-,-,46,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,291,"",-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
sonst. afrik. Staatsangeh.,299,"",4,4,-,4,-,-,-,2,-,2,52,10,-,-,-,2,-,1,-,-,-,-,-,1,-
Afrika,"","",2.392,2.244,148,1.386,20,287,45,35,188,811,49.962,1.371,20,283,43,26,185,742,-,4,2,9,3,13,56
Argentinien,323,"",2,-,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Brasilien,327,"",-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chile,332,"",-,-,-,2,-,-,-,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
Dominikanische Republik,335,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,336,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,"",1,1,-,1,-,-,-,-,-,1,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Kolumbien,349,"",-,-,-,3,-,-,-,-,-,3,41,2,-,-,-,-,-,3,-,-,-,-,-,-,-
Kuba,351,"",2,2,-,2,-,-,-,-,-,2,93,2,-,-,-,-,-,2,-,-,-,-,-,-,-
Mexico,353,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,355,"",1,1,-,2,-,-,-,-,1,1,19,1,-,-,-,-,1,1,-,-,-,-,-,-,-
Paraguay,359,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suriname,364,"",-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Venezuela,367,"",-,-,-,-,-,-,-,-,-,-,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,"",2,2,-,2,-,1,-,-,1,-,16,-,-,1,-,-,1,-,-,-,-,-,-,-,-
Trinidad und Tobago,371,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,"","",8,6,2,13,-,1,-,-,3,9,236,9,-,1,-,-,3,9,-,-,-,-,-,-,-
Jemen,421,"",20,20,-,10,-,-,-,-,-,10,251,11,-,-,-,-,-,4,-,-,-,-,-,-,6
Armenien,422,"",109,92,17,82,-,4,1,3,16,58,2.829,186,-,4,1,2,16,47,-,-,-,1,-,7,4
Afghanistan,423,"",926,885,41,582,8,131,48,73,72,250,14.171,731,8,123,42,58,71,226,-,8,6,15,1,13,11
Bahrain,424,"",2,2,-,-,-,-,-,-,-,-,26,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Aserbaidschan,425,"",90,84,6,31,1,2,-,-,15,13,1.856,188,1,1,-,-,14,12,-,1,-,-,1,1,-
Bhutan,426,"",-,-,-,-,-,-,-,-,-,-,16,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Myanmar,427,"",1,1,-,-,-,-,-,-,-,-,133,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Georgien,430,"",266,242,24,229,-,-,-,-,147,82,2.640,282,-,-,-,-,143,64,-,-,-,-,4,2,16
Sri Lanka,431,"",19,14,5,14,-,7,-,-,4,3,832,138,-,7,-,-,4,2,-,-,-,-,-,1,-
Vietnam,432,"",72,68,4,24,-,-,-,-,3,21,725,60,-,-,-,-,3,17,-,-,-,-,-,4,-
Korea (Demokrat. Volksrepubl.),434,"",3,3,-,-,-,-,-,-,-,-,86,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Indien,436,"",121,116,5,24,-,-,-,-,17,7,2.364,67,-,-,-,-,17,7,-,-,-,-,-,-,-
Indonesien,437,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irak,438,"",1.192,1.052,140,1.263,9,1.085,21,11,-,137,6.177,2.955,9,593,10,8,-,134,-,492,11,3,-,2,1
"Iran, Islamische Republik",439,"",257,235,22,257,10,124,4,1,21,97,4.904,471,10,114,4,-,15,95,-,10,-,1,6,-,2
Israel,441,"",-,-,-,-,-,-,-,-,-,-,42,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Japan,442,"",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Kasachstan,444,"",11,3,8,6,-,-,-,-,-,6,102,22,-,-,-,-,-,5,-,-,-,-,-,1,-
Jordanien,445,"",10,10,-,4,-,1,1,-,1,1,144,22,-,1,1,-,1,1,-,-,-,-,-,-,-
Kambodscha,446,"",2,2,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",6,6,-,5,-,-,-,-,1,4,89,17,-,-,-,-,1,4,-,-,-,-,-,-,-
Libanon,451,"",70,66,4,48,-,2,-,-,19,27,819,125,-,2,-,-,19,17,-,-,-,-,-,6,4
Oman,456,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",38,32,6,17,-,-,-,-,2,15,532,20,-,-,-,-,2,15,-,-,-,-,-,-,-
Nepal,458,"",1,1,-,1,-,-,-,-,1,-,27,2,-,-,-,-,1,-,-,-,-,-,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",11,11,-,9,-,3,-,-,1,5,180,1,-,3,-,-,1,5,-,-,-,-,-,-,-
Bangladesch,460,"",14,14,-,20,-,2,-,-,9,9,814,35,-,2,-,-,9,8,-,-,-,-,-,-,1
Pakistan,461,"",247,225,22,130,-,7,-,-,45,78,7.289,357,-,7,-,-,43,65,-,-,-,-,2,4,9
Philippinen,462,"",-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
China (Taiwan),465,"",-,-,-,-,-,-,-,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea (Republik),467,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tadschikistan,470,"",13,11,2,16,-,-,-,-,-,16,326,37,-,-,-,-,-,15,-,-,-,-,-,-,1
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Turkmenistan,471,"",24,23,1,1,-,-,-,-,-,1,498,8,-,-,-,-,-,1,-,-,-,-,-,-,-
Saudi Arabien,472,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,"",4.620,4.420,200,5.114,132,4.008,18,20,-,936,20.032,1.233,130,3.718,17,19,-,925,2,290,1,1,-,2,9
Thailand,476,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Usbekistan,477,"",-,-,-,5,3,-,-,-,-,2,26,1,3,-,-,-,-,2,-,-,-,-,-,-,-
China,479,"",36,34,2,6,1,3,-,-,-,2,750,50,1,2,-,-,-,2,-,1,-,-,-,-,-
Malaysia,482,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,"",252,240,12,153,1,112,-,-,3,37,1.539,138,1,100,-,-,3,33,-,12,-,-,-,4,-
Asien,"","",8.433,7.912,521,8.052,165,5.491,93,108,378,1.817,70.279,7.172,163,4.677,75,87,364,1.706,2,814,18,21,14,47,64
Salomonen,524,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australien,"","",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatenlos,997,"",82,73,9,149,1,118,-,-,-,30,1.021,60,1,104,-,-,-,30,-,14,-,-,-,-,-
Ungeklärt,998,"",400,380,20,295,5,165,-,-,32,93,2.734,195,2,152,-,-,31,89,3,13,-,-,1,2,2
ohne Angabe,999,"",-,-,-,1,-,1,-,-,-,-,21,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Unbekannt,"","",482,453,29,445,6,284,-,-,32,123,3.776,256,3,257,-,-,31,119,3,27,-,-,1,2,2
Herkunftsländer gesamt,"","",32.054,28.681,3.373,22.754,194,6.083,144,189,10.821,5.323,178.249,21.582,189,5.238,123,140,10.266,3.665,5,845,21,49,555,1.205,453
