Herkunftsland, LS, ,ASYLANTRÄGE insgesamt, ASYLANTRÄGE davon Erstanträge, ASYLANTRÄGE davon Folgeanträge, ENTSCHEIDUNGEN über Asylanträge insgesamt, ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl), ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen, ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen, ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen, ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren, ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Albanien,121,"",4.922,4.864,58,1.229,-,-,3,-,1.060,166,18.590,363,-,-,3,-,1.058,154,-,-,-,-,2,12,-
Bosnien und Herzegowina,122,"",542,382,160,405,-,-,-,2,184,219,2.828,1.269,-,-,-,2,167,60,-,-,-,-,17,122,37
Belgien,124,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bulgarien,125,"",7,7,-,-,-,-,-,-,-,-,19,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Estland,127,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kroatien,130,"",1,-,1,-,-,-,-,-,-,-,16,15,-,-,-,-,-,-,-,-,-,-,-,-,-
Slowenien,131,"",1,1,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Griechenland,134,"",5,5,-,-,-,-,-,-,-,-,16,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Italien,137,"",1,1,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lettland,139,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,140,"",335,313,22,150,-,-,-,1,132,17,1.117,232,-,-,-,-,129,7,-,-,-,1,3,6,4
Litauen,142,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mazedonien,144,"",996,637,359,431,-,-,-,-,320,111,3.695,2.446,-,-,-,-,280,39,-,-,-,-,40,50,22
Moldau (Republik),146,"",112,110,2,1,-,-,-,-,1,-,686,13,-,-,-,-,1,-,-,-,-,-,-,-,-
Niederlande,148,"",-,-,-,1,-,-,-,-,1,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Kosovo,150,"",1.947,1.781,166,3.437,-,2,6,13,3.052,364,13.910,2.287,-,2,6,12,2.875,260,-,-,-,1,177,76,28
Polen,152,"",-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Portugal,153,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumänien,154,"",2,1,1,2,-,-,-,-,2,-,7,3,-,-,-,-,1,-,-,-,-,-,1,-,-
Slowakische Republik,155,"",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweden,157,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweiz,158,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,"",471,385,86,453,-,13,3,1,78,358,5.550,1.008,-,10,3,1,75,244,-,3,-,-,3,2,112
Spanien,161,"",-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Türkei,163,"",146,133,13,73,-,6,-,4,19,44,2.626,372,-,6,-,2,19,39,-,-,-,2,-,3,2
Tschechische Republik,164,"",-,-,-,5,-,-,-,-,-,5,1,5,-,-,-,-,-,5,-,-,-,-,-,-,-
Ungarn,165,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,166,"",506,502,4,110,-,-,-,1,-,109,3.985,76,-,-,-,1,-,106,-,-,-,-,-,1,2
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Großbritannien mit Nordirland,168,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Weißrußland,169,"",54,54,-,12,-,-,-,-,-,12,207,18,-,-,-,-,-,12,-,-,-,-,-,-,-
Serbien,170,"",1.990,1.395,595,1.607,-,-,-,2,899,706,9.357,5.042,-,-,-,2,844,171,-,-,-,-,55,442,93
sonst. europ. Staatsangeh.,199,"",-,-,-,5,-,-,-,-,5,-,16,1,-,-,-,-,5,-,-,-,-,-,-,-,-
Europa,"","",12.038,10.571,1.467,7.921,-,21,12,24,5.753,2.111,62.710,13.157,-,18,12,20,5.455,1.097,-,3,-,4,298,714,300
Algerien,221,"",280,257,23,79,1,1,-,-,21,56,2.596,182,1,1,-,-,21,46,-,-,-,-,-,3,7
Angola,223,"",2,2,-,11,-,-,5,4,2,-,178,9,-,-,5,4,2,-,-,-,-,-,-,-,-
