Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
Nigeria,232,771,707,64,1.375,2,115,19,142,530,567,3.195,232,2,104,19,124,516,487,-,11,-,18,14,40,40
Simbabwe,233,9,9,-,9,-,-,-,3,3,3,33,1,-,-,-,3,3,3,-,-,-,-,-,-,-
Gabun,236,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gambia,237,200,177,23,616,1,28,3,21,347,216,1.297,114,1,27,3,17,340,176,-,1,-,4,7,14,26
Ghana,238,91,83,8,125,-,5,-,5,71,44,234,30,-,5,-,5,70,32,-,-,-,-,1,10,2
Mauretanien,239,4,3,1,16,5,-,-,-,7,4,15,3,5,-,-,-,7,3,-,-,-,-,-,1,-
Cabo Verde,242,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenia,243,11,11,-,25,-,1,-,-,20,4,54,-,-,1,-,-,20,4,-,-,-,-,-,-,-
Komoren,244,-,-,-,1,-,-,-,-,-,1,10,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Kongo,245,2,2,-,3,-,-,-,1,1,1,15,-,-,-,-,1,1,-,-,-,-,-,-,-,1
"Kongo, Dem. Republik",246,23,18,5,28,-,5,3,8,7,5,109,19,-,5,3,7,7,2,-,-,-,1,-,3,-
Liberia,247,18,18,-,36,-,4,-,2,14,16,74,4,-,4,-,1,14,16,-,-,-,1,-,-,-
Libyen,248,86,81,5,141,-,2,2,5,33,99,378,19,-,2,2,4,31,94,-,-,-,1,2,1,4
Madagaskar,249,-,-,-,3,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Mali,251,27,21,6,59,-,2,-,2,31,24,97,13,-,2,-,2,31,23,-,-,-,-,-,1,-
Marokko,252,117,91,26,216,-,3,1,4,104,104,245,50,-,3,1,4,100,73,-,-,-,-,4,20,11
Mauritius,253,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Mosambik,254,-,-,-,5,-,-,-,-,-,5,14,-,-,-,-,-,-,5,-,-,-,-,-,-,-
Niger,255,11,11,-,18,-,-,1,1,10,6,20,3,-,-,1,1,9,5,-,-,-,-,1,1,-
Malawi,256,-,-,-,3,-,-,-,-,-,3,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
Sambia,257,1,1,-,2,-,1,-,-,-,1,5,-,-,1,-,-,-,1,-,-,-,-,-,-,-
Burkina-Faso,258,12,8,4,19,-,-,-,-,7,12,33,4,-,-,-,-,7,9,-,-,-,-,-,3,-
Guinea-Bissau,259,19,14,5,30,-,2,-,-,13,15,52,5,-,2,-,-,13,10,-,-,-,-,-,3,2
Guinea,261,226,211,15,433,1,59,8,21,192,152,900,47,1,56,8,20,191,131,-,3,-,1,1,9,12
Kamerun,262,89,83,6,174,-,10,-,8,109,47,386,20,-,10,-,7,106,44,-,-,-,1,3,-,3
Suedafrika,263,-,-,-,-,-,-,-,-,-,-,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Ruanda,265,8,8,-,18,6,1,4,-,4,3,54,-,6,1,4,-,4,2,-,-,-,-,-,1,-
Namibia,267,2,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,24,19,5,45,-,2,3,-,21,19,81,8,-,1,3,-,20,15,-,1,-,-,1,2,2
Sierra Leone,272,26,20,6,127,-,1,1,7,75,43,131,12,-,1,1,7,74,35,-,-,-,-,1,3,5
Somalia,273,427,374,53,875,4,201,140,57,149,324,2.327,227,4,196,139,39,146,249,-,5,1,18,3,29,46
"Aequatorialguinea",274,-,-,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-
Sudan (ohne Suedsudan),277,61,55,6,225,1,34,33,9,42,106,413,60,1,32,32,4,40,78,-,2,1,5,2,5,23
Suedsudan,278,4,4,-,16,1,2,2,3,5,3,27,7,1,2,2,3,5,3,-,-,-,-,-,-,-
Swasiland,281,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Tansania,282,4,2,2,11,-,-,-,-,6,5,21,4,-,-,-,-,5,2,-,-,-,-,1,1,2
Togo,283,27,26,1,81,-,2,-,-,52,27,178,21,-,1,-,-,52,24,-,1,-,-,-,1,2
Tschad,284,11,6,5,21,-,-,-,-,4,17,16,9,-,-,-,-,4,11,-,-,-,-,-,3,3
Tunesien,285,61,49,12,61,-,1,-,-,21,39,123,34,-,1,-,-,21,31,-,-,-,-,-,7,1
Uganda,286,9,9,-,3,1,-,-,-,-,2,46,3,1,-,-,-,-,1,-,-,-,-,-,-,1
"Aegypten",287,84,70,14,119,1,13,-,3,58,44,174,22,1,12,-,3,57,30,-,1,-,-,1,9,5
Zentralafrikanische Republik,289,1,1,-,4,-,-,1,-,3,-,11,1,-,-,1,-,3,-,-,-,-,-,-,-,-
Burundi,291,2,1,1,1,-,-,-,-,1,-,24,1,-,-,-,-,1,-,-,-,-,-,-,-,-
sonst. afrik. Staatsangeh.,299,-,-,-,1,-,-,-,-,1,-,17,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Afrika,,3.117,2.737,380,6.319,62,772,449,361,2.314,2.361,13.377,1.163,62,741,445,299,2.259,1.912,-,31,4,62,55,215,234
Argentinien,323,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-
Brasilien,327,1,1,-,1,-,-,-,-,-,1,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Guyana,328,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chile,332,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,-,-,-,1,-,-,-,-,-,1,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-
El Salvador,337,-,-,-,1,-,-,-,-,1,-,7,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Haiti,346,-,-,-,1,-,-,-,-,1,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Honduras,347,2,2,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,4,4,-,12,-,-,-,-,11,1,16,-,-,-,-,-,11,1,-,-,-,-,-,-,-
Kuba,351,17,16,1,8,-,-,-,-,5,3,24,1,-,-,-,-,5,3,-,-,-,-,-,-,-
Mexico,353,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,355,-,-,-,5,-,4,-,-,1,-,5,-,-,4,-,-,1,-,-,-,-,-,-,-,-
Paraguay,359,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Peru,361,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,367,23,23,-,15,-,7,-,-,7,1,96,-,-,7,-,-,7,1,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,1,1,-,6,2,1,-,-,1,2,10,-,2,1,-,-,1,2,-,-,-,-,-,-,-
Trinidad und Tobago,371,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,,49,48,1,54,2,12,1,-,30,9,175,3,2,12,1,-,30,9,-,-,-,-,-,-,-
China (Hongkong),411,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jemen,421,100,100,-,58,1,3,20,1,-,33,297,5,1,3,20,-,-,32,-,-,-,1,-,-,1
Armenien,422,171,127,44,460,-,1,8,20,231,200,822,131,-,1,8,19,224,131,-,-,-,1,7,38,31
Afghanistan,423,855,732,123,2.111,2,263,91,458,812,485,4.668,412,2,242,84,408,785,336,-,21,7,50,27,96,53
Bahrain,424,-,-,-,2,-,-,1,-,-,1,4,-,-,-,1,-,-,1,-,-,-,-,-,-,-
Aserbaidschan,425,138,100,38,388,-,13,5,5,236,129,662,93,-,11,5,5,233,105,-,2,-,-,3,21,3
Bhutan,426,-,-,-,2,-,-,-,-,2,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Myanmar,427,7,7,-,7,1,1,-,1,-,4,44,6,1,1,-,-,-,4,-,-,-,1,-,-,-
Georgien,430,596,562,34,829,-,4,2,2,691,130,818,55,-,4,2,2,669,80,-,-,-,-,22,31,19
Sri Lanka,431,26,23,3,66,-,3,1,-,42,20,254,56,-,3,1,-,42,11,-,-,-,-,-,7,2
Vietnam,432,52,46,6,48,-,-,-,-,40,8,63,15,-,-,-,-,39,7,-,-,-,-,1,-,1
Korea (Demokrat. Volksrepubl.),434,-,-,-,2,-,-,-,-,2,-,38,1,-,-,-,-,2,-,-,-,-,-,-,-,-
Indien,436,55,49,6,92,-,1,-,-,62,29,158,24,-,1,-,-,60,26,-,-,-,-,2,3,-
Indonesien,437,-,-,-,2,-,-,-,-,1,1,2,-,-,-,-,-,1,1,-,-,-,-,-,-,-
Irak,438,1.325,1.220,105,1.870,3,263,113,154,733,604,5.678,382,3,261,112,147,709,466,-,2,1,7,24,87,51
"Iran, Islamische Republik",439,628,560,68,998,36,208,20,8,378,348,2.244,189,35,202,20,5,355,288,1,6,-,3,23,45,15
Israel,441,2,1,1,2,-,-,-,-,2,-,12,1,-,-,-,-,2,-,-,-,-,-,-,-,-
Kasachstan,444,2,2,-,2,-,-,-,-,-,2,9,1,-,-,-,-,-,2,-,-,-,-,-,-,-
Jordanien,445,13,13,-,20,-,1,1,-,5,13,86,8,-,1,1,-,4,13,-,-,-,-,1,-,-
Kambodscha,446,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Katar,447,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Kuwait,448,1,1,-,1,-,-,-,-,1,-,9,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Kirgisistan,450,5,3,2,29,-,-,-,1,19,9,44,7,-,-,-,-,19,-,-,-,-,1,-,5,4
Libanon,451,72,48,24,122,-,-,8,1,75,38,220,54,-,-,7,1,71,30,-,-,1,-,4,6,2
Mongolei,457,15,12,3,19,-,2,-,2,10,5,55,8,-,2,-,2,10,3,-,-,-,-,-,1,1
Nepal,458,5,5,-,3,-,-,-,1,1,1,22,7,-,-,-,1,1,-,-,-,-,-,-,-,1
Staatsangehoerigkeit ohne Bezeichnung,459,24,23,1,14,5,-,-,-,6,3,83,3,5,-,-,-,6,1,-,-,-,-,-,-,2
Bangladesch,460,16,7,9,68,-,4,1,4,33,26,114,28,-,4,1,3,32,13,-,-,-,1,1,13,-
Pakistan,461,301,226,75,489,1,12,4,7,295,170,656,157,1,11,4,6,275,91,-,1,-,1,20,49,30
Philippinen,462,-,-,-,1,-,-,-,-,-,1,25,-,-,-,-,-,-,1,-,-,-,-,-,-,-
China (Taiwan),465,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea (Republik),467,1,1,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Tadschikistan,470,40,33,7,155,-,7,3,-,66,79,249,28,-,7,3,-,65,67,-,-,-,-,1,9,3
Turkmenistan,471,2,2,-,8,-,-,-,1,7,-,44,7,-,-,-,1,7,-,-,-,-,-,-,-,-
Saudi Arabien,472,2,2,-,3,1,-,-,-,1,1,9,-,1,-,-,-,1,1,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,2.329,2.206,123,3.181,126,916,1.578,18,10,533,11.879,315,126,821,1.559,7,10,457,-,95,19,11,-,62,14
Thailand,476,1,1,-,3,-,-,-,-,1,2,1,-,-,-,-,-,1,2,-,-,-,-,-,-,-
Usbekistan,477,2,2,-,18,-,-,-,-,18,-,48,-,-,-,-,-,18,-,-,-,-,-,-,-,-
China,479,23,16,7,41,5,2,1,-,17,16,85,23,5,2,1,-,17,12,-,-,-,-,-,2,2
Malaysia,482,2,2,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brit. abhaeng. Geb. in Asien,495,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,-,-,-,13,-,2,-,-,11,-,51,5,-,2,-,-,10,-,-,-,-,-,1,-,-
Asien,,6.812,6.132,680,11.128,181,1.706,1.857,684,3.808,2.892,29.481,2.025,180,1.579,1.829,607,3.671,2.182,1,127,28,77,137,475,235
Staatenlos,997,85,78,7,162,5,64,17,10,35,31,410,24,5,63,16,10,31,25,-,1,1,-,4,6,-
Ungeklaert,998,284,248,36,478,6,88,44,15,197,128,1.723,127,6,78,44,14,195,103,-,10,-,1,2,21,4
ohne Angabe,999,2,1,1,1,-,1,-,-,-,-,12,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Unbekannt,,371,327,44,641,11,153,61,25,232,159,2.145,152,11,142,60,24,226,128,-,11,1,1,6,27,4
Herkunftslaender gesamt,,12.490,10.760,1.730,21.301,380,2.955,2.385,1.128,7.882,6.571,50.792,4.487,379,2.772,2.342,971,7.581,4.668,1,183,43,157,301,1.284,619
