Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Mauretanien,239,"",12,12,-,6,-,-,-,-,3,3,45,-,-,-,-,-,3,2,-,-,-,-,-,-,1
Kenia,243,"",12,12,-,6,-,-,-,-,1,5,180,3,-,-,-,-,1,5,-,-,-,-,-,-,-
Komoren,244,"",6,6,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",4,4,-,1,-,-,-,-,-,1,85,5,-,-,-,-,-,1,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",14,14,-,6,-,1,3,-,-,2,458,32,-,1,3,-,-,2,-,-,-,-,-,-,-
Liberia,247,"",2,2,-,5,-,-,-,-,-,5,64,5,-,-,-,-,-,4,-,-,-,-,-,-,1
Libyen,248,"",97,95,2,23,9,2,-,-,1,11,728,30,9,2,-,-,1,5,-,-,-,-,-,-,6
Mali,251,"",48,44,4,26,-,-,-,1,1,24,617,11,-,-,-,-,1,23,-,-,-,1,-,-,1
Marokko,252,"",151,143,8,81,-,-,-,-,33,48,1.459,57,-,-,-,-,33,42,-,-,-,-,-,1,5
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Mauritius,253,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Niger,255,"",6,5,1,3,-,-,-,-,-,3,91,11,-,-,-,-,-,3,-,-,-,-,-,-,-
Sambia,257,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina-Faso,258,"",13,12,1,5,-,-,-,-,-,5,177,6,-,-,-,-,-,4,-,-,-,-,-,-,1
Guinea-Bissau,259,"",15,14,1,5,-,-,-,-,-,5,265,8,-,-,-,-,-,4,-,-,-,-,-,-,1
Guinea,261,"",43,41,2,43,-,2,-,3,-,38,1.881,52,-,-,-,3,-,38,-,2,-,-,-,-,-
Kamerun,262,"",66,66,-,40,-,-,1,-,6,33,664,31,-,-,1,-,6,33,-,-,-,-,-,-,-
Südafrika,263,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ruanda,265,"",6,6,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Namibia,267,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,"",150,149,1,12,-,-,-,-,2,10,1.247,5,-,-,-,-,2,9,-,-,-,-,-,-,1
Sierra Leone,272,"",32,31,1,2,-,-,-,-,-,2,392,22,-,-,-,-,-,2,-,-,-,-,-,-,-
Somalia,273,"",351,341,10,152,-,32,4,9,16,91,6.219,185,-,27,4,9,16,87,-,5,-,-,-,-,4
Äquatorialguinea,274,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",34,31,3,41,1,5,14,-,6,15,649,22,1,5,14,-,6,14,-,-,-,-,-,1,-
Südsudan,278,"",3,2,1,1,-,-,-,-,-,1,28,5,-,-,-,-,-,-,-,-,-,-,-,-,1
Swasiland,281,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tansania,282,"",5,5,-,5,-,-,-,-,-,5,61,-,-,-,-,-,-,5,-,-,-,-,-,-,-
Togo,283,"",22,21,1,8,-,-,-,-,1,7,217,20,-,-,-,-,1,3,-,-,-,-,-,3,1
Tschad,284,"",20,19,1,13,-,-,-,-,2,11,142,12,-,-,-,-,2,11,-,-,-,-,-,-,-
Tunesien,285,"",77,71,6,53,-,-,-,-,24,29,466,66,-,-,-,-,24,21,-,-,-,-,-,1,7
Uganda,286,"",11,10,1,2,-,-,-,-,-,2,121,8,-,-,-,-,-,2,-,-,-,-,-,-,-
Ägypten,287,"",120,116,4,50,18,4,-,-,7,21,2.674,43,18,3,-,-,7,20,-,1,-,-,-,-,1
Zentralafrikanische Republik,289,"",5,5,-,-,-,-,-,-,-,-,42,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,291,"",-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. afrik. Staatsangeh.,299,"",3,3,-,2,-,-,-,-,2,-,44,12,-,-,-,-,2,-,-,-,-,-,-,-,-
Afrika,"","",3.024,2.935,89,1.330,29,237,68,22,196,778,47.658,1.072,29,229,68,17,194,725,-,8,-,5,2,10,43
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Argentinien,323,"",-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Brasilien,327,"",-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chile,332,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,"",1,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,"",-,-,-,1,-,-,-,-,-,1,44,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Kuba,351,"",-,-,-,-,-,-,-,-,-,-,90,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Mexico,353,"",-,-,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Nicaragua,354,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,355,"",-,-,-,-,-,-,-,-,-,-,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguay,359,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suriname,364,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,367,"",-,-,-,-,-,-,-,-,-,-,13,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,"",-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad und Tobago,371,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,"","",3,3,-,2,-,-,-,-,1,1,238,7,-,-,-,-,1,1,-,-,-,-,-,-,-
Jemen,421,"",12,12,-,12,-,1,9,-,-,2,216,17,-,1,9,-,-,2,-,-,-,-,-,-,-
Armenien,422,"",192,185,7,50,-,-,-,1,19,30,2.674,178,-,-,-,1,18,26,-,-,-,-,1,1,3
Afghanistan,423,"",1.162,1.129,33,447,-,110,6,66,72,193,13.139,670,-,105,4,58,72,179,-,5,2,8,-,1,13
Bahrain,424,"",-,-,-,-,-,-,-,-,-,-,22,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Aserbaidschan,425,"",167,158,9,31,4,5,-,-,14,8,1.759,176,4,5,-,-,12,8,-,-,-,-,2,-,-
Bhutan,426,"",-,-,-,-,-,-,-,-,-,-,16,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,427,"",3,3,-,2,1,-,-,-,-,1,129,1,1,-,-,-,-,1,-,-,-,-,-,-,-
Georgien,430,"",291,264,27,199,-,-,-,1,86,112,2.587,227,-,-,-,1,83,91,-,-,-,-,3,5,16
Sri Lanka,431,"",45,40,5,19,1,7,-,1,3,7,815,127,1,7,-,-,3,2,-,-,-,1,-,2,3
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Vietnam,432,"",71,68,3,15,-,-,-,1,3,11,655,61,-,-,-,-,2,11,-,-,-,1,1,-,-
Korea (Demokrat. Volksrepubl.),434,"",-,-,-,-,-,-,-,-,-,-,84,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Indien,436,"",108,100,8,38,-,-,-,-,30,8,2.213,56,-,-,-,-,30,7,-,-,-,-,-,-,1
Indonesien,437,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irak,438,"",1.065,901,164,1.199,8,1.097,16,8,4,66,5.374,3.629,6,567,3,5,2,62,2,530,13,3,2,2,2
"Iran, Islamische Republik",439,"",271,253,18,210,17,74,1,4,20,94,4.867,455,17,64,1,-,20,91,-,10,-,4,-,1,2
Israel,441,"",-,-,-,-,-,-,-,-,-,-,42,4,-,-,-,-,-,-,-,-,-,-,-,-,-
Japan,442,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasachstan,444,"",9,6,3,11,-,-,-,-,4,7,110,11,-,-,-,-,4,4,-,-,-,-,-,3,-
Jordanien,445,"",12,11,1,4,-,2,-,-,1,1,134,23,-,2,-,-,-,1,-,-,-,-,1,-,-
Kambodscha,446,"",-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",18,17,1,-,-,-,-,-,-,-,87,17,-,-,-,-,-,-,-,-,-,-,-,-,-
Libanon,451,"",64,49,15,65,-,5,-,-,11,49,721,128,-,5,-,-,10,39,-,-,-,-,1,3,7
Oman,456,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",68,67,1,17,-,-,-,-,5,12,509,11,-,-,-,-,4,12,-,-,-,-,1,-,-
Nepal,458,"",-,-,-,1,-,-,-,-,1,-,28,2,-,-,-,-,1,-,-,-,-,-,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",37,37,-,16,-,13,-,-,-,3,168,1,-,13,-,-,-,3,-,-,-,-,-,-,-
Bangladesch,460,"",36,34,2,19,-,2,-,2,9,6,796,33,-,2,-,2,9,5,-,-,-,-,-,1,-
Pakistan,461,"",438,419,19,227,-,34,1,2,116,74,7.001,331,-,31,1,2,114,69,-,3,-,-,2,1,4
Philippinen,462,"",-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
China (Taiwan),465,"",1,1,-,-,-,-,-,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea (Republik),467,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tadschikistan,470,"",29,27,2,22,-,-,-,-,-,22,302,36,-,-,-,-,-,22,-,-,-,-,-,-,-
Turkmenistan,471,"",36,34,2,6,-,-,-,-,1,5,448,7,-,-,-,-,1,5,-,-,-,-,-,-,-
Saudi Arabien,472,"",1,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,"",5.530,5.340,190,6.119,173,5.289,7,6,-,644,20.162,971,168,5.056,6,5,-,639,5,233,1,1,-,-,5
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Thailand,476,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Usbekistan,477,"",-,-,-,-,-,-,-,-,-,-,25,1,-,-,-,-,-,-,-,-,-,-,-,-,-
China,479,"",24,22,2,11,-,-,1,-,8,2,697,48,-,-,1,-,8,2,-,-,-,-,-,-,-
Malaysia,482,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,"",195,192,3,201,4,136,3,3,6,49,1.434,119,4,133,3,2,6,46,-,3,-,1,-,2,1
Asien,"","",9.885,9.370,515,8.941,208,6.775,44,95,413,1.406,67.274,7.349,201,5.991,28,76,399,1.327,7,784,16,19,14,22,57
Salomonen,524,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australien,"","",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatenlos,997,"",282,255,27,190,4,155,-,1,4,26,1.076,68,3,135,-,-,4,26,1,20,-,1,-,-,-
Ungeklärt,998,"",510,475,35,399,7,314,-,-,33,45,2.780,183,7,305,-,-,33,40,-,9,-,-,-,3,2
ohne Angabe,999,"",2,2,-,-,-,-,-,-,-,-,23,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Unbekannt,"","",794,732,62,589,11,469,-,1,37,71,3.879,252,10,440,-,-,37,66,1,29,-,1,-,3,2
Herkunftsländer gesamt,"","",25.042,21.679,3.363,17.835,251,7.529,124,137,4.679,5.115,158.361,19.889,243,6.705,107,106,4.312,3.055,8,824,17,31,367,1.669,391
