YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
201601,627
201602,920
201603,830
201604,1152
201605,1057
201606,1845
201607,1800
201608,2046
201609,1897
201610,1709
201611,2001
201612,1629
201701,958
201702,1079
201703,1035
201704,846
201705,784
201706,954
201707,728
201708,414
201709,593
201710,658
201711,513
