YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
201601,1061
201602,1626
201603,1693
201604,1981
201605,2062
201606,3031
201607,3618
201608,3808
201609,3351
201610,1787
201611,1041
201612,772
201701,888
201702,722
201703,767
201704,919
201705,740
201706,541
201707,579
201708,632
201709,707
201710,709
201711,725
