YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
201601,6567
201602,9999
201603,8982
201604,9505
201605,8295
201606,9999
201607,9128
201608,11574
201609,9245
201610,2953
201611,2221
201612,1638
201701,1245
201702,1405
201703,1674
201704,1173
201705,1619
201706,1480
201707,1619
201708,2012
201709,1889
201710,2011
201711,1851
