YEAR_MONTH,Herkunftsland,Entscheidungen insgesamt,Ablehnungen,sonstige Erledigungen, bereinigte Schutzquote, BAMF-Schutzquote
201511,Albanien,3814,2874,928,0.4158,0.31463
201511,Bosnien und Herzegowina,403,177,225,0.561798,0.248139
201511,Belgien,0,0,0,nd,nd
201511,Bulgarien,0,0,0,nd,nd
201511,Estland,0,0,0,nd,nd
201511,Frankreich,1,1,0,nd,nd
201511,Kroatien,5,1,4,0,0
201511,Slowenien,0,0,0,nd,nd
201511,Griechenland,2,1,1,0,0
201511,Italien,0,0,0,nd,nd
201511,Lettland,0,0,0,nd,nd
201511,Montenegro,142,93,47,2.10526,1.40845
201511,Litauen,1,1,0,nd,nd
201511,Mazedonien,561,351,209,0.284091,0.178253
201511,Moldau (Republik),6,3,2,25,16.6667
201511,Niederlande,0,0,0,nd,nd
201511,Kosovo,804,603,189,1.95122,1.49254
201511,Polen,0,0,0,nd,nd
201511,Portugal,0,0,0,nd,nd
201511,Rumänien,1,1,0,nd,nd
201511,Slowakische Republik,0,0,0,nd,nd
201511,Schweden,0,0,0,nd,nd
201511,Schweiz,0,0,0,nd,nd
201511,Russische Föderation,427,79,303,36.2903,10.5386
201511,Spanien,0,0,0,nd,nd
201511,Türkei,74,24,43,22.5806,9.45946
201511,Tschechische Republik,0,0,0,nd,nd
201511,Ungarn,0,0,0,nd,nd
201511,Ukraine,69,2,65,50,2.89855
201511,Großbritannien mit Nordirland,0,0,0,nd,nd
201511,Weißrußland,1,0,1,nd,nd
201511,Serbien,1113,588,522,0.507614,0.269542
201511,Zypern,0,0,0,nd,nd
201511,sonst. europ. Staatsangeh.,0,0,0,nd,nd
201511,Algerien,127,46,78,6.12245,2.3622
201511,Angola,6,6,0,nd,nd
201511,Eritrea,2679,5,68,99.8085,97.2751
201511,Äthiopien,43,12,22,42.8571,20.9302
201511,Botsuana,0,0,0,nd,nd
201511,Benin,8,2,6,0,0
201511,Dschibuti,0,0,0,nd,nd
201511,Elfenbeinküste (Cote d Ivoire),39,5,33,16.6667,2.5641
201511,Nigeria,95,24,60,31.4286,11.5789
201511,Simbabwe,1,0,0,nd,nd
201511,Gabun,1,0,1,nd,nd
201511,Gambia,50,8,38,33.3333,8
201511,Ghana,22,4,17,20,4.54545
201511,Mauretanien,12,4,8,0,0
201511,Cabo Verde,0,0,0,nd,nd
201511,Kenia,9,3,6,0,0
201511,Komoren,0,0,0,nd,nd
201511,Kongo,4,3,1,0,0
201511,"Kongo, Dem. Republik",29,20,5,16.6667,13.7931
201511,Liberia,2,0,2,nd,nd
201511,Libyen,45,12,20,52,28.8889
201511,Mali,30,4,24,33.3333,6.66667
201511,Marokko,109,64,38,9.85915,6.42202
201511,Mauritius,0,0,0,nd,nd
201511,Mosambik,0,0,0,nd,nd
201511,Niger,8,2,6,0,0
201511,Malawi,0,0,0,nd,nd
201511,Sambia,0,0,0,nd,nd
201511,Burkina-Faso,6,3,3,0,0
201511,Guinea-Bissau,7,2,5,0,0
201511,Guinea,47,26,12,25.7143,19.1489
201511,Kamerun,32,13,19,0,0
201511,Südafrika,1,0,1,nd,nd
201511,Ruanda,1,1,0,nd,nd
201511,Namibia,1,1,0,nd,nd
201511,Senegal,23,6,17,0,0
201511,Sierra Leone,16,6,7,33.3333,18.75
201511,Somalia,186,16,81,84.7619,47.8495
201511,Äquatorialguinea,0,0,0,nd,nd
201511,Sudan (ohne Südsudan),29,4,18,63.6364,24.1379
201511,Südsudan,7,0,1,100,85.7143
201511,Tansania,0,0,0,nd,nd
201511,Togo,4,3,1,0,0
201511,Tschad,8,3,5,0,0
201511,Tunesien,47,32,15,0,0
201511,Uganda,2,0,0,nd,nd
201511,Ägypten,62,22,13,55.102,43.5484
201511,Zentralafrikanische Republik,0,0,0,nd,nd
201511,Burundi,1,1,0,nd,nd
201511,sonst. afrik. Staatsangeh.,8,4,1,42.8571,37.5
201511,Argentinien,1,0,1,nd,nd
201511,Brasilien,5,0,4,100,20
201511,Belize,0,0,0,nd,nd
201511,Dominikanische Republik,0,0,0,nd,nd
201511,Ecuador,0,0,0,nd,nd
201511,El Salvador,0,0,0,nd,nd
201511,Guatemala,0,0,0,nd,nd
201511,Haiti,0,0,0,nd,nd
201511,Honduras,0,0,0,nd,nd
201511,Kanada,0,0,0,nd,nd
201511,Kolumbien,0,0,0,nd,nd
201511,Kuba,8,0,8,nd,nd
201511,Mexico,1,1,0,nd,nd
201511,Nicaragua,0,0,0,nd,nd
201511,Jamaica,3,1,2,0,0
201511,Paraguay,0,0,0,nd,nd
201511,Peru,1,1,0,nd,nd
201511,Venezuela,1,0,1,nd,nd
201511,Vereinigte Staaten v. Amerika,0,0,0,nd,nd
201511,Trinidad und Tobago,1,1,0,nd,nd
201511,Jemen,1,0,1,nd,nd
201511,Armenien,62,32,23,17.9487,11.2903
201511,Afghanistan,635,107,215,74.5238,49.2913
201511,Bahrain,0,0,0,nd,nd
201511,Aserbaidschan,22,13,6,18.75,13.6364
201511,Bhutan,2,2,0,nd,nd
201511,Myanmar,1,0,1,nd,nd
201511,Georgien,158,108,49,0.917431,0.632911
201511,Sri Lanka,14,4,4,60,42.8571
201511,Vietnam,30,12,17,7.69231,3.33333
201511,Korea (Demokrat. Volksrepubl.),0,0,0,nd,nd
201511,Indien,75,63,12,0,0
201511,Indonesien,0,0,0,nd,nd
201511,Irak,2276,29,228,98.584,88.7083
201511,"Iran, Islamische Republik",221,31,68,79.7386,55.2036
201511,Israel,1,1,0,nd,nd
201511,Kasachstan,6,0,6,nd,nd
201511,Jordanien,10,3,5,40,20
201511,Kambodscha,0,0,0,nd,nd
201511,Kuwait,0,0,0,nd,nd
201511,"Laos, Demokratische Volksrepublik",0,0,0,nd,nd
201511,Kirgisistan,5,1,4,0,0
