YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
2017-01,8
2017-02,5
2017-03,15
2017-04,12
2017-05,22
2017-06,13
2017-07,5
2017-08,31
2017-09,17
2017-10,23
2017-11,36
2017-12,11
2018-01,30
2018-02,23
2018-03,30
2018-04,22
2018-05,22
2018-06,42
2018-07,43
2018-08,22
2018-09,29
2018-10,50
2018-11,35
2018-12,51
2019-01,48
2019-02,58
2019-03,48
2019-04,62
2019-05,46
2019-06,51
2019-07,80
2019-08,55
