YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
201601,94
201602,189
201603,167
201604,272
201605,312
201606,459
201607,525
201608,732
201609,669
201610,575
201611,671
201612,528
201701,580
201702,492
201703,477
201704,423
201705,505
201706,454
201707,564
201708,829
201709,989
201710,1038
201711,1050
