YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,2,16,2,14,465
2018-02,1,12,4,7,295
2018-03,1,10,0,11,300
2018-04,0,12,3,5,285
2018-05,1,8,3,2,168
2018-06,0,4,1,2,195
2018-07,0,11,0,0,159
2018-08,4,6,0,2,180
2018-09,0,12,0,9,119
2018-10,0,12,0,1,165
2018-11,0,11,0,10,203
2018-12,0,4,4,5,115
2019-01,0,13,0,2,142
2019-02,0,21,2,3,165
2019-03,2,27,0,0,160
2019-04,0,9,0,3,119
2019-05,0,8,0,3,110
2019-06,2,13,0,2,110
2019-07,0,16,0,4,169
2019-08,0,11,1,1,81
