YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
201601,27146
201602,33493
201603,27878
201604,25791
201605,21544
201606,24492
201607,22488
201608,26209
201609,22543
201610,6253
201611,4516
201612,3317
201701,2675
201702,3220
201703,3898
201704,2704
201705,3888
201706,3135
201707,3841
201708,4079
201709,3121
201710,3331
201711,3918
