Jahr,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Anhängige Verfahren,9114,8835,10926,18278,22710,23289,33773,49811,95743,169166,364664,433719,68245,58325
Entscheidungen,48102,30759,28572,20817,28816,48187,43362,61826,80978,128911,282726,695733,603428,216873
