YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
201601,4917
201602,7268
201603,7567
201604,8458
201605,9091
201606,15055
201607,16188
201608,19840
201609,14434
201610,5351
201611,2937
201612,1822
201701,1442
201702,1492
201703,2093
201704,1131
201705,1268
201706,1119
201707,1109
201708,1315
201709,925
201710,1008
201711,1094
