YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,4,44,19,14,345
2017-02,9,45,35,15,406
2017-03,6,61,16,14,395
2017-04,8,60,16,31,415
2017-05,11,131,38,25,753
2017-06,3,35,9,15,280
2017-07,1,27,5,15,438
2017-08,4,38,13,20,306
2017-09,0,24,1,8,236
2017-10,7,20,6,3,285
2017-11,9,37,12,7,300
2017-12,4,24,14,13,228
