Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
Burkina-Faso,258,63,53,10,101,0,6,0,2,45,48,24,2,0,3,0,2,43,40,0,3,0,0,2,4,4
Guinea-Bissau,259,104,88,16,168,0,2,1,5,67,93,31,4,0,2,1,5,65,74,0,0,0,0,2,8,11
Guinea,261,1509,1369,140,2239,5,198,39,146,1028,823,716,58,5,190,39,135,1012,685,0,8,0,11,16,50,88
Kamerun,262,495,463,32,995,1,32,7,34,580,341,283,15,1,32,6,32,569,280,0,0,1,2,11,14,47
Suedafrika,263,16,16,0,16,0,0,0,0,13,3,8,0,0,0,0,0,13,2,0,0,0,0,0,0,1
Ruanda,265,29,29,0,66,9,9,6,3,28,11,34,1,9,9,5,2,28,9,0,0,1,1,0,1,1
Namibia,267,4,4,0,3,0,0,0,0,1,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Senegal,269,182,133,49,283,2,3,3,2,118,155,43,11,2,2,3,2,107,107,0,1,0,0,11,37,11
Sierra Leone,272,287,255,32,630,0,38,3,42,346,201,157,11,0,33,3,40,339,165,0,5,0,2,7,13,23
Somalia,273,3260,2912,348,4991,12,1056,613,420,966,1924,2015,193,12,1021,606,305,929,1487,0,35,7,115,37,148,289
"Aequatorialguinea",274,6,6,0,8,0,0,0,0,2,6,1,0,0,0,0,0,1,5,0,0,0,0,1,0,1
Sudan (ohne Suedsudan),277,528,438,90,1207,5,152,137,29,247,637,311,57,5,147,136,14,240,496,0,5,1,15,7,39,102
Suedsudan,278,20,17,3,68,1,5,9,4,26,23,10,3,1,5,9,3,26,16,0,0,0,1,0,0,7
Swasiland,281,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tansania,282,52,48,4,59,0,0,0,4,30,25,46,2,0,0,0,4,28,14,0,0,0,0,2,2,9
Togo,283,197,191,6,406,0,11,0,14,253,128,111,12,0,10,0,13,248,106,0,1,0,1,5,4,18
Tschad,284,55,38,17,104,0,0,0,3,30,71,13,6,0,0,0,3,28,46,0,0,0,0,2,6,19
Tunesien,285,352,295,57,482,2,4,5,2,191,278,96,14,2,4,5,2,181,215,0,0,0,0,10,50,13
Uganda,286,87,79,8,75,5,10,0,9,32,19,63,6,5,10,0,6,32,11,0,0,0,3,0,3,5
"Aegypten",287,422,350,72,594,6,50,11,10,295,222,172,13,6,44,11,8,274,151,0,6,0,2,21,42,29
Zentralafrikanische Republik,289,5,5,0,21,0,0,1,0,13,7,8,0,0,0,1,0,13,6,0,0,0,0,0,1,0
Burundi,291,12,11,1,23,2,5,1,2,12,1,18,1,2,5,1,2,11,1,0,0,0,0,1,0,0
sonst. afrik. Staatsangeh.,299,0,0,0,4,0,0,0,0,4,0,11,0,0,0,0,0,3,0,0,0,0,0,1,0,0
Argentinien,323,4,4,0,4,0,0,0,0,4,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0
Brasilien,327,9,9,0,7,0,0,0,0,6,1,5,0,0,0,0,0,6,1,0,0,0,0,0,0,0
Guyana,328,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chile,332,3,2,1,3,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Dominikanische Republik,335,1,1,0,4,0,0,0,0,2,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Ecuador,336,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,337,5,5,0,11,0,0,0,0,11,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Guatemala,345,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,346,1,1,0,5,0,1,0,0,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
Honduras,347,6,6,0,6,0,1,3,0,2,0,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0
Kanada,348,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbien,349,54,54,0,83,0,0,0,1,75,7,24,0,0,0,0,1,75,6,0,0,0,0,0,0,1
Kuba,351,65,61,4,52,0,0,0,0,37,15,22,3,0,0,0,0,37,14,0,0,0,0,0,1,0
Mexico,353,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nicaragua,354,2,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jamaica,355,20,16,4,24,6,6,0,0,10,2,2,3,6,6,0,0,9,1,0,0,0,0,1,1,0
Paraguay,359,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peru,361,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Venezuela,367,174,172,2,120,11,23,0,7,71,8,133,0,11,23,0,7,71,6,0,0,0,0,0,2,0
Vereinigte Staaten v. Amerika,368,7,7,0,19,2,2,0,0,10,5,4,0,2,2,0,0,9,5,0,0,0,0,1,0,0
Trinidad und Tobago,371,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China (Hongkong),411,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Jemen,421,487,486,1,468,5,29,222,4,6,202,278,4,5,29,221,0,6,197,0,0,1,4,0,1,4
Armenien,422,1107,867,240,2315,0,24,24,81,1301,885,409,81,0,19,24,67,1250,559,0,5,0,14,51,213,113
Afghanistan,423,6222,5138,1084,12131,18,1357,462,2502,4619,3173,3274,491,18,1227,428,2226,4453,2132,0,130,34,276,166,613,428
Bahrain,424,4,3,1,11,1,2,4,0,2,2,3,0,1,2,4,0,2,1,0,0,0,0,0,1,0
Aserbaidschan,425,1123,905,218,1986,7,79,17,38,1026,819,451,90,7,76,17,38,975,617,0,3,0,0,51,174,28
Bhutan,426,1,1,0,3,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Myanmar,427,43,42,1,64,3,29,1,1,11,19,32,1,3,29,1,0,11,17,0,0,0,1,0,2,0
Georgien,430,2710,2450,260,3659,2,6,8,33,2993,617,283,64,2,6,8,31,2919,349,0,0,0,2,74,197,71
Sri Lanka,431,192,168,24,471,1,31,10,10,269,150,155,41,1,27,10,7,257,66,0,4,0,3,12,51,33
Vietnam,432,319,293,26,320,3,0,0,3,255,59,59,12,3,0,0,2,243,38,0,0,0,1,12,14,7
Korea (Demokrat. Volksrepubl.),434,1,1,0,15,0,0,0,0,10,5,23,1,0,0,0,0,10,5,0,0,0,0,0,0,0
Indien,436,486,426,60,586,0,8,2,6,394,176,168,21,0,7,2,6,384,123,0,1,0,0,10,43,10
Indonesien,437,4,4,0,3,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Irak,438,9015,8259,756,10851,27,1838,545,803,4238,3400,5663,404,27,1803,537,732,4098,2553,0,35,8,71,140,470,377
"Iran, Islamische Republik",439,4730,4283,447,5915,135,1112,81,53,2486,2048,2325,230,133,1060,77,34,2381,1726,2,52,4,19,105,205,117
Israel,441,6,5,1,16,0,1,0,0,14,1,2,0,0,1,0,0,13,1,0,0,0,0,1,0,0
Japan,442,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasachstan,444,19,13,6,35,5,0,1,0,12,17,6,2,5,0,1,0,11,9,0,0,0,0,1,7,1
Jordanien,445,78,69,9,158,2,5,20,0,72,59,39,7,0,4,20,0,70,51,2,1,0,0,2,5,3
Kambodscha,446,15,15,0,10,0,0,0,1,6,3,17,0,0,0,0,1,6,3,0,0,0,0,0,0,0
Katar,447,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kuwait,448,9,9,0,7,0,0,0,0,2,5,13,0,0,0,0,0,2,3,0,0,0,0,0,1,1
"Laos, Demokratische Volksrepublik",449,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kirgisistan,450,42,23,19,159,1,5,0,11,82,60,15,9,1,5,0,10,76,18,0,0,0,1,6,24,18
Libanon,451,399,322,77,722,0,11,24,19,452,216,166,33,0,11,23,17,421,140,0,0,1,2,31,40,36
Mongolei,457,90,81,9,178,0,4,6,9,121,38,48,6,0,4,6,6,111,23,0,0,0,3,10,5,10
Nepal,458,19,18,1,58,0,1,1,7,33,16,12,0,0,1,1,7,28,11,0,0,0,0,5,1,4
Staatsangehoerigkeit ohne Bezeichnung,459,103,99,4,126,18,23,2,5,51,27,72,2,18,23,2,5,50,23,0,0,0,0,1,2,2
Bangladesch,460,150,85,65,369,5,18,3,10,207,126,63,37,5,17,3,9,196,54,0,1,0,1,11,55,17
Pakistan,461,1728,1146,582,2951,5,62,13,41,1715,1115,447,175,5,54,10,38,1599,524,0,8,3,3,116,417,174
Philippinen,462,8,7,1,22,0,0,1,1,13,7,9,3,0,0,1,1,13,5,0,0,0,0,0,0,2
China (Taiwan),465,1,1,0,4,0,0,0,0,4,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0
Korea (Republik),467,2,2,0,13,0,0,0,0,11,2,1,0,0,0,0,0,11,0,0,0,0,0,0,1,1
Vereinigte arabische Emirate,469,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadschikistan,470,293,236,57 724,,5,47,8,10,343,311,120,29,2,47,7,9,329,263,3,0,1,1,14,23,25
Turkmenistan,471,22,21,1 52,,0,1,0,7,37,7,26,2,0,1,0,7,37,7,0,0,0,0,0,0,0
Saudi Arabien,472,11,9,2 20,,7,1,2,2,5,3,4,1,7,1,2,2,5,2,0,0,0,0,0,0,1
"Syrien, Arabische Republik",475,22520,21587,933 21245,,443,6750,9208,152,52,4640,15045,408,443,6430,9135,99,41,4100,0,320,73,53,11,398,142
Thailand,476,5,5,0 4,,0,0,0,0,2,2,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Usbekistan,477,13,13,0 59,,0,1,3,3,39,13,19,0,0,0,3,3,39,6,0,1,0,0,0,5,2
China,479,165,136,29 241,,8,19,4,2,121,87,70,19,8,19,2,2,112,71,0,0,2,0,9,10,6
Malaysia,482,4,4,0 9,,0,2,0,0,5,2,4,0,0,2,0,0,5,2,0,0,0,0,0,0,0
Timor-Leste,483,1,1,0 -,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sonst. asiat. Staatsangeh.,499,0,0,0 43,,0,14,2,0,20,7,23,1,0,14,2,0,19,4,0,0,0,0,1,1,2
Staatenlos,997,727,682,45 958,,38,333,116,54,168,249,442,19,38,320,111,48,163,208,0,13,5,6,5,22,19
Ungeklaert,998,2427,2109,318 3053,,57,653,263,90,1075,915,1622,122,57,539,257,69,1036,712,0,114,6,21,39,121,82
ohne Angabe,999,26,24,2 18,,0,5,2,1,1,9,13,1,0,5,2,1,1,8,0,0,0,0,0,1,0
