Europa,1909,1338,571,2406,116,670,2,10,832,776,8869,1273,116,641,1,5,772,286,0,29,1,5,60,399,91,
Afrika,1754,1473,281,2460,9,328,98,81,867,1077,9525,1260,9,318,94,69,823,725,0,10,4,12,44,151,201,
Amerika,201,195,6,77,9,0,5,14,45,4,1118,20,9,0,5,14,45,3,0,0,0,0,0,1,0,
Asien,5635,5051,584,6563,47,1894,1078,217,1441,1886,30134,2838,46,1859,1065,181,1364,1423,1,35,13,36,77,289,174,
Unbekannt,352,302,50,386,10,176,31,2,60,107,1801,174,10,172,31,1,56,68,0,4,0,1,4,33,6,
Herkunftslaender gesamt,9851,8359,1492,11892,191,3068,1214,324,3245,3850,51447,5565,190,2990,1196,270,3060,2505,1,78,18,54,185,873,472,
