YEAR_MONTH,Europa,3777,2571,1206,3707,110,453,20,6,1778,1340,7687,1494,110,452,17,4,1650,385,0,1,3,2,128,784,171,
2019-01,Afrika,3663,3279,384,4343,30,524,225,156,1710,1698,11148,1007,26,510,219,124,1668,1296,4,14,6,32,42,192,210,
2019-01,Amerika,116,109,7,100,7,4,2,2,76,9,344,7,7,4,2,2,76,2,0,0,0,0,0,7,0,
2019-01,Asien,9024,8160,864,11211,69,3018,2105,477,2774,2768,32849,2353,69,2917,2085,392,2659,1938,0,101,20,85,115,530,300,
2019-01,Unbekannt,471,415,56,560,19,205,38,10,148,140,2098,171,19,197,38,6,144,101,0,8,0,4,4,22,17,
2019-01,Herkunftslaender gesamt,17051,14534,2517,19921,235,4204,2390,651,6486,5955,54126,5032,231,4080,2361,528,6197,3722,4,124,29,123,289,1535,698,
