YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,9,133,14,178,757,559
2018-02,2,115,19,142,530,567
2018-03,11,113,18,121,478,584
2018-04,1,67,10,93,454,639
2018-05,0,77,5,61,439,682
2018-06,2,34,2,38,467,578
2018-07,3,18,4,44,382,568
2018-08,2,44,14,51,498,494
2018-09,2,25,13,28,474,404
2018-10,4,48,14,45,491,426
2018-11,6,41,8,60,525,454
2018-12,2,36,5,30,307,326
