YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,45,53,32,11,660
2018-02,37,25,14,33,384
2018-03,47,46,19,22,471
2018-04,11,20,6,27,333
2018-05,23,9,13,11,371
2018-06,39,5,9,5,240
2018-07,25,6,10,6,202
2018-08,34,8,2,13,241
2018-09,41,19,13,4,257
2018-10,29,8,4,12,341
2018-11,38,2,11,5,279
2018-12,20,7,10,8,229
