YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,0,7,1,18,62
2018-02,0,1,1,7,75
2018-03,0,4,1,10,52
2018-04,0,13,0,3,49
2018-05,0,6,0,4,30
2018-06,0,6,0,0,78
2018-07,0,5,1,2,58
2018-08,0,6,1,1,31
2018-09,0,5,0,3,27
2018-10,0,3,0,5,44
2018-11,0,0,1,2,43
2018-12,0,1,1,2,22
