YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,2,435,137,741,1596,547
2018-02,2,263,91,458,812,485
2018-03,5,247,99,431,742,623
2018-04,4,218,70,370,608,495
2018-05,1,110,29,290,444,563
2018-06,4,79,35,201,410,483
2018-07,0,75,42,200,297,364
2018-08,1,183,48,212,308,472
2018-09,8,157,72,250,314,433
2018-10,5,216,71,269,323,447
2018-11,2,164,84,261,351,430
2018-12,0,101,40,171,196,333
