YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,0,13,0,2,142
2019-02,0,21,2,3,165
2019-03,2,27,0,0,160
2019-04,0,9,0,3,119
2019-05,0,8,0,3,110
2019-06,2,13,0,2,110
2019-07,0,16,0,4,169
2019-08,0,11,1,1,81
2019-09,1,6,0,3,159
2019-10,3,13,0,1,70
2019-11,6,8,2,6,96
2019-12,1,7,0,3,89
2020-01,0,6,1,3,111
2020-02,0,20,0,6,84
2020-03,0,20,0,0,88
2020-04,0,15,0,3,40
2020-05,0,10,1,8,143
2020-06,2,19,0,3,93
2020-07,0,12,0,6,87
2020-08,3,9,2,1,89
